job_id,task,horizon_windows,split,actual_index,actual_label,predicted_index,predicted_label,rows
congestion_h1,congestion,1,validation,0,Free-flow,0,Free-flow,15443
congestion_h1,congestion,1,validation,0,Free-flow,1,Moderate,1041
congestion_h1,congestion,1,validation,0,Free-flow,2,Heavy,2
congestion_h1,congestion,1,validation,0,Free-flow,3,Severe,0
congestion_h1,congestion,1,validation,1,Moderate,0,Free-flow,607
congestion_h1,congestion,1,validation,1,Moderate,1,Moderate,5329
congestion_h1,congestion,1,validation,1,Moderate,2,Heavy,620
congestion_h1,congestion,1,validation,1,Moderate,3,Severe,39
congestion_h1,congestion,1,validation,2,Heavy,0,Free-flow,4
congestion_h1,congestion,1,validation,2,Heavy,1,Moderate,403
congestion_h1,congestion,1,validation,2,Heavy,2,Heavy,1576
congestion_h1,congestion,1,validation,2,Heavy,3,Severe,630
congestion_h1,congestion,1,validation,3,Severe,0,Free-flow,1
congestion_h1,congestion,1,validation,3,Severe,1,Moderate,11
congestion_h1,congestion,1,validation,3,Severe,2,Heavy,413
congestion_h1,congestion,1,validation,3,Severe,3,Severe,1031
congestion_h1,congestion,1,test,0,Free-flow,0,Free-flow,15352
congestion_h1,congestion,1,test,0,Free-flow,1,Moderate,958
congestion_h1,congestion,1,test,0,Free-flow,2,Heavy,7
congestion_h1,congestion,1,test,0,Free-flow,3,Severe,0
congestion_h1,congestion,1,test,1,Moderate,0,Free-flow,545
congestion_h1,congestion,1,test,1,Moderate,1,Moderate,5404
congestion_h1,congestion,1,test,1,Moderate,2,Heavy,579
congestion_h1,congestion,1,test,1,Moderate,3,Severe,39
congestion_h1,congestion,1,test,2,Heavy,0,Free-flow,2
congestion_h1,congestion,1,test,2,Heavy,1,Moderate,444
congestion_h1,congestion,1,test,2,Heavy,2,Heavy,1553
congestion_h1,congestion,1,test,2,Heavy,3,Severe,677
congestion_h1,congestion,1,test,3,Severe,0,Free-flow,0
congestion_h1,congestion,1,test,3,Severe,1,Moderate,20
congestion_h1,congestion,1,test,3,Severe,2,Heavy,426
