job_id,task,target_column,horizon_windows,family,candidate_id,fold,status,failure,full_training_rows,sampled_training_rows,sampled_training_timestamps,validation_rows,training_origin_start,training_origin_end,maximum_training_target_timestamp,validation_origin_start,validation_origin_end,rows,accuracy,macro_precision,macro_recall,macro_f1,brier_score,log_loss,fit_seconds,prediction_seconds,training_weight_evidence_json,confusion_matrix_json,per_class_json,positive_rows,negative_rows,positive_rate,roc_auc,pr_auc
congestion_h1,congestion,target_congestion_h1,1,decision_tree,tree_balanced,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:00:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,0.7970238095,0.650787192,0.6589409096,0.6511368519,0.3179295308,2.9870632577,0.054761,0.039652,"{""balanced_class_weights"":{""Free-flow"":0.3973509934,""Heavy"":2.7027027027,""Moderate"":1.1090573013,""Severe"":4.7244094488},""class_counts"":{""Free-flow"":1510,""Heavy"":222,""Moderate"":541,""Severe"":127},""rows"":2400}","[[4723,584,10,6],[164,1318,308,22],[6,224,425,138],[0,42,201,229]]","{""Free-flow"":{""f1"":0.9246280345,""precision"":0.9652564889,""recall"":0.8872816081,""support"":5323},""Heavy"":{""f1"":0.4893494531,""precision"":0.4502118644,""recall"":0.5359394704,""support"":793},""Moderate"":{""f1"":0.6623115578,""precision"":0.6079335793,""recall"":0.7273730684,""support"":1812},""Severe"":{""f1"":0.5282583622,""precision"":0.5797468354,""recall"":0.4851694915,""support"":472}}",,,,,
congestion_h1,congestion,target_congestion_h1,1,decision_tree,tree_balanced,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:00:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,0.7745238095,0.615391188,0.6622433178,0.6317752493,0.3364221304,2.2320856726,0.039639,0.036961,"{""balanced_class_weights"":{""Free-flow"":0.3989361702,""Heavy"":2.5316455696,""Moderate"":1.0752688172,""Severe"":5.9405940594},""class_counts"":{""Free-flow"":1504,""Heavy"":237,""Moderate"":558,""Severe"":101},""rows"":2400}","[[4473,460,44,1],[246,1290,488,101],[3,121,497,243],[1,10,176,246]]","{""Free-flow"":{""f1"":0.9221729719,""precision"":0.9470675418,""recall"":0.898553636,""support"":4978},""Heavy"":{""f1"":0.4804253262,""precision"":0.4124481328,""recall"":0.5752314815,""support"":864},""Moderate"":{""f1"":0.6440339491,""precision"":0.6858054226,""recall"":0.6070588235,""support"":2125},""Severe"":{""f1"":0.48046875,""precision"":0.4162436548,""recall"":0.5681293303,""support"":433}}",,,,,
congestion_h1,congestion,target_congestion_h1,1,decision_tree,tree_balanced,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:00:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,0.7617857143,0.6021547268,0.6396654038,0.6075130126,0.3746182187,2.1546227786,0.040729,0.036028,"{""balanced_class_weights"":{""Free-flow"":0.4062288422,""Heavy"":3.2608695652,""Moderate"":1.1111111111,""Severe"":3.0150753769},""class_counts"":{""Free-flow"":1477,""Heavy"":184,""Moderate"":540,""Severe"":199},""rows"":2400}","[[4319,467,11,2],[273,1404,243,150],[1,179,346,489],[0,14,172,330]]","{""Free-flow"":{""f1"":0.9197189097,""precision"":0.9403440017,""recall"":0.8999791623,""support"":4799},""Heavy"":{""f1"":0.3872411863,""precision"":0.4481865285,""recall"":0.3408866995,""support"":1015},""Moderate"":{""f1"":0.679245283,""precision"":0.6802325581,""recall"":0.6782608696,""support"":2070},""Severe"":{""f1"":0.4438466711,""precision"":0.3398558187,""recall"":0.6395348837,""support"":516}}",,,,,
congestion_h1,congestion,target_congestion_h1,1,decision_tree,tree_balanced,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:00:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,0.7541666667,0.5326047627,0.6350776129,0.5635859378,0.3528836059,2.1525515303,0.036662,0.036787,"{""balanced_class_weights"":{""Free-flow"":0.4016064257,""Heavy"":2.5,""Moderate"":1.1131725417,""Severe"":4.7244094488},""class_counts"":{""Free-flow"":1494,""Heavy"":240,""Moderate"":539,""Severe"":127},""rows"":2400}","[[4581,1014,17,18],[151,1398,348,177],[1,121,245,131],[0,17,70,111]]","{""Free-flow"":{""f1"":0.8841069188,""precision"":0.9678850623,""recall"":0.8136767318,""support"":5630},""Heavy"":{""f1"":0.415959253,""precision"":0.3602941176,""recall"":0.4919678715,""support"":498},""Moderate"":{""f1"":0.6046712803,""precision"":0.5482352941,""recall"":0.6740597878,""support"":2074},""Severe"":{""f1"":0.3496062992,""precision"":0.2540045767,""recall"":0.5606060606,""support"":198}}",,,,,
congestion_h1,congestion,target_congestion_h1,1,decision_tree,tree_balanced,5,success,,118350,2400,96,8375,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:00:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T16:00:00+05:30,8375,0.7628656716,0.5730937085,0.6202352981,0.5838398619,0.3443364627,2.3731124241,0.044071,0.041079,"{""balanced_class_weights"":{""Free-flow"":0.3836317136,""Heavy"":3.1746031746,""Moderate"":1.1278195489,""Severe"":5.2173913043},""class_counts"":{""Free-flow"":1564,""Heavy"":189,""Moderate"":532,""Severe"":115},""rows"":2400}","[[4591,454,3,59],[160,1226,222,502],[2,181,260,181],[0,21,201,312]]","{""Free-flow"":{""f1"":0.9312373225,""precision"":0.9659162634,""recall"":0.8989622087,""support"":5107},""Heavy"":{""f1"":0.3969465649,""precision"":0.3790087464,""recall"":0.4166666667,""support"":624},""Moderate"":{""f1"":0.6142284569,""precision"":0.651434644,""recall"":0.581042654,""support"":2110},""Severe"":{""f1"":0.3929471033,""precision"":0.2960151803,""recall"":0.5842696629,""support"":534}}",,,,,
congestion_h1,congestion,target_congestion_h1,1,decision_tree,tree_deep,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:00:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,0.7872619048,0.5923056165,0.6286762623,0.6063537864,0.3329144136,3.9247668177,0.044914,0.038832,"{""balanced_class_weights"":{""Free-flow"":0.3973509934,""Heavy"":2.7027027027,""Moderate"":1.1090573013,""Severe"":4.7244094488},""class_counts"":{""Free-flow"":1510,""Heavy"":222,""Moderate"":541,""Severe"":127},""rows"":2400}","[[4827,444,38,14],[210,1223,279,100],[5,175,303,310],[0,35,177,260]]","{""Free-flow"":{""f1"":0.9314037627,""precision"":0.9573581912,""recall"":0.9068194627,""support"":5323},""Heavy"":{""f1"":0.3811320755,""precision"":0.3801756587,""recall"":0.3820933165,""support"":793},""Moderate"":{""f1"":0.6630523177,""precision"":0.6515716569,""recall"":0.6749448124,""support"":1812},""Severe"":{""f1"":0.4498269896,""precision"":0.3801169591,""recall"":0.5508474576,""support"":472}}",,,,,
congestion_h1,congestion,target_congestion_h1,1,decision_tree,tree_deep,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:00:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,0.7694047619,0.610892711,0.6633366691,0.6286171167,0.3516482036,3.6887664414,0.041546,0.036986,"{""balanced_class_weights"":{""Free-flow"":0.3989361702,""Heavy"":2.5316455696,""Moderate"":1.0752688172,""Severe"":5.9405940594},""class_counts"":{""Free-flow"":1504,""Heavy"":237,""Moderate"":558,""Severe"":101},""rows"":2400}","[[4411,526,18,23],[300,1321,320,184],[9,124,471,260],[0,10,163,260]]","{""Free-flow"":{""f1"":0.9096720973,""precision"":0.9345338983,""recall"":0.8860988349,""support"":4978},""Heavy"":{""f1"":0.5130718954,""precision"":0.4845679012,""recall"":0.5451388889,""support"":864},""Moderate"":{""f1"":0.6434486118,""precision"":0.6668349319,""recall"":0.6216470588,""support"":2125},""Severe"":{""f1"":0.4482758621,""precision"":0.3576341128,""recall"":0.6004618938,""support"":433}}",,,,,
congestion_h1,congestion,target_congestion_h1,1,decision_tree,tree_deep,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:00:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,0.7155952381,0.5410926697,0.5629219131,0.5445169757,0.4203568928,5.2866552944,0.044162,0.044271,"{""balanced_class_weights"":{""Free-flow"":0.4062288422,""Heavy"":3.2608695652,""Moderate"":1.1111111111,""Severe"":3.0150753769},""class_counts"":{""Free-flow"":1477,""Heavy"":184,""Moderate"":540,""Severe"":199},""rows"":2400}","[[4064,710,23,2],[240,1400,214,216],[1,158,348,508],[0,13,304,199]]","{""Free-flow"":{""f1"":0.8927943761,""precision"":0.944018583,""recall"":0.8468430923,""support"":4799},""Heavy"":{""f1"":0.3655462185,""precision"":0.3914510686,""recall"":0.3428571429,""support"":1015},""Moderate"":{""f1"":0.6435302229,""precision"":0.6137658922,""recall"":0.6763285024,""support"":2070},""Severe"":{""f1"":0.2761970854,""precision"":0.2151351351,""recall"":0.3856589147,""support"":516}}",,,,,
congestion_h1,congestion,target_congestion_h1,1,decision_tree,tree_deep,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:00:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,0.7445238095,0.5138176473,0.6078221515,0.5411209386,0.3929019814,3.9129767686,0.039949,0.038485,"{""balanced_class_weights"":{""Free-flow"":0.4016064257,""Heavy"":2.5,""Moderate"":1.1131725417,""Severe"":4.7244094488},""class_counts"":{""Free-flow"":1494,""Heavy"":240,""Moderate"":539,""Severe"":127},""rows"":2400}","[[4626,881,110,13],[162,1267,511,134],[1,114,271,112],[0,11,97,90]]","{""Free-flow"":{""f1"":0.8879930895,""precision"":0.9659636667,""recall"":0.821669627,""support"":5630},""Heavy"":{""f1"":0.3644922663,""precision"":0.2740141557,""recall"":0.5441767068,""support"":498},""Moderate"":{""f1"":0.5829307568,""precision"":0.5574131104,""recall"":0.6108968177,""support"":2074},""Severe"":{""f1"":0.3290676417,""precision"":0.2578796562,""recall"":0.4545454545,""support"":198}}",,,,,
congestion_h1,congestion,target_congestion_h1,1,decision_tree,tree_deep,5,success,,118350,2400,96,8375,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:00:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T16:00:00+05:30,8375,0.7579701493,0.5918024404,0.6246091961,0.6045273595,0.3710452004,4.1448857123,0.040797,0.038329,"{""balanced_class_weights"":{""Free-flow"":0.3836317136,""Heavy"":3.1746031746,""Moderate"":1.1278195489,""Severe"":5.2173913043},""class_counts"":{""Free-flow"":1564,""Heavy"":189,""Moderate"":532,""Severe"":115},""rows"":2400}","[[4514,537,56,0],[316,1254,432,108],[13,189,244,178],[0,38,160,336]]","{""Free-flow"":{""f1"":0.9073366834,""precision"":0.9320669007,""recall"":0.8838848639,""support"":5107},""Heavy"":{""f1"":0.3218997361,""precision"":0.2735426009,""recall"":0.391025641,""support"":624},""Moderate"":{""f1"":0.6075581395,""precision"":0.621407334,""recall"":0.5943127962,""support"":2110},""Severe"":{""f1"":0.5813148789,""precision"":0.540192926,""recall"":0.6292134831,""support"":534}}",,,,,
