registry_key,job_id,target,task_type,horizon_windows,horizon_minutes,selected_family,candidate_id,primary_metric,metric_direction,mean_cv_primary_metric,std_cv_primary_metric,validation_primary_metric,test_primary_metric,acceptance_metric,acceptance_threshold,acceptance_met,validation_fit_seconds,test_prediction_seconds,model_version,model_path,model_sha256,model_card_path,model_card_sha256,prediction_path,prediction_sha256,preprocessing_version,processed_sha256,feature_schema_sha256,selection_sha256
volume/h1/random_forest/classical_regression_v1,volume_h1,volume,regression,1,30,random_forest,forest_deep,rmse,minimize,80.7527810741,7.2621593162,61.192570471,63.4594878679,mape_percent,12,True,2.200992,0.069966,classical_regression_v1,artifacts/models/classical_regression_v1/volume_h1.joblib,b7770302ad346e36466e10df4b879d08de652faaa37b8d91c15681df57427075,artifacts/model_cards/classical_regression_v1/volume_h1.json,a1a55893032d9e9312fb0894ac9911659b7e2235bbc269b469684b6b72cda080,artifacts/predictions/classical_regression_v1/selected_predictions.parquet,a1788b55e0c4570df9cd684033b8dc902450165a3539490b5901d0a2949fc9f8,split_preprocessing_v1,f5377b7f8969d6b74e850d71a803c91f252ec236d5bceeaa02e3e31dedfa81a4,204d2fc3ab00e18a452e4ef2898826cf9dc0bd05dbaf795f8f203ca26f71f453,792df7995558360c99f28f13eb71e8fed182ada164c10582577cd05d5b9e3fd4
volume/h2/random_forest/classical_regression_v1,volume_h2,volume,regression,2,60,random_forest,forest_deep,rmse,minimize,89.4976582393,12.7640285832,61.1235555945,62.8625581165,mape_percent,12,True,2.167509,0.069231,classical_regression_v1,artifacts/models/classical_regression_v1/volume_h2.joblib,395c9ec82cb96df0798a9ed4e8df3c02fc89d4eae009a4ffda8bf56c27823687,artifacts/model_cards/classical_regression_v1/volume_h2.json,534c744b8815fec6139d2ede474790bcf956335c8752be504358ac3c8cb236e7,artifacts/predictions/classical_regression_v1/selected_predictions.parquet,a1788b55e0c4570df9cd684033b8dc902450165a3539490b5901d0a2949fc9f8,split_preprocessing_v1,f5377b7f8969d6b74e850d71a803c91f252ec236d5bceeaa02e3e31dedfa81a4,204d2fc3ab00e18a452e4ef2898826cf9dc0bd05dbaf795f8f203ca26f71f453,792df7995558360c99f28f13eb71e8fed182ada164c10582577cd05d5b9e3fd4
volume/h3/random_forest/classical_regression_v1,volume_h3,volume,regression,3,90,random_forest,forest_balanced,rmse,minimize,96.2064721183,14.7514043078,65.6564903895,65.30578945,mape_percent,12,True,1.365721,0.066276,classical_regression_v1,artifacts/models/classical_regression_v1/volume_h3.joblib,9ededd03a93ec713f7f4f277952567fcdff45cc7e0a957b9414bb5e088b9c27c,artifacts/model_cards/classical_regression_v1/volume_h3.json,cabf3ed6143583fc0ca752dce3807e0395cd4d0e41f448bd5fb856c5d991bec5,artifacts/predictions/classical_regression_v1/selected_predictions.parquet,a1788b55e0c4570df9cd684033b8dc902450165a3539490b5901d0a2949fc9f8,split_preprocessing_v1,f5377b7f8969d6b74e850d71a803c91f252ec236d5bceeaa02e3e31dedfa81a4,204d2fc3ab00e18a452e4ef2898826cf9dc0bd05dbaf795f8f203ca26f71f453,792df7995558360c99f28f13eb71e8fed182ada164c10582577cd05d5b9e3fd4
volume/h4/random_forest/classical_regression_v1,volume_h4,volume,regression,4,120,random_forest,forest_deep,rmse,minimize,104.858441762,20.5367107456,60.5923775842,62.0091681736,mape_percent,12,True,2.11979,0.069569,classical_regression_v1,artifacts/models/classical_regression_v1/volume_h4.joblib,5ce1045ad5973916660f067efee1d9707f0b8aed1986af6cc0e5b5e86d2b5880,artifacts/model_cards/classical_regression_v1/volume_h4.json,2cd81089f7d6eac08b09d84e1377c0e016207e705be10d7f016db7567b961b7a,artifacts/predictions/classical_regression_v1/selected_predictions.parquet,a1788b55e0c4570df9cd684033b8dc902450165a3539490b5901d0a2949fc9f8,split_preprocessing_v1,f5377b7f8969d6b74e850d71a803c91f252ec236d5bceeaa02e3e31dedfa81a4,204d2fc3ab00e18a452e4ef2898826cf9dc0bd05dbaf795f8f203ca26f71f453,792df7995558360c99f28f13eb71e8fed182ada164c10582577cd05d5b9e3fd4
speed/h1/random_forest/classical_regression_v1,speed_h1,speed,regression,1,30,random_forest,forest_deep,rmse,minimize,4.6877100515,0.4849137806,3.7229821969,3.7399844314,,,,2.128806,0.070667,classical_regression_v1,artifacts/models/classical_regression_v1/speed_h1.joblib,15296e95624de1b2980aab0b12cb8f126c7a9ea27895e25963d108b71667299e,artifacts/model_cards/classical_regression_v1/speed_h1.json,a6d6003b490624374f6fa5c9471b83a3b86317c8fb5b50ab69a47bcb01545ee7,artifacts/predictions/classical_regression_v1/selected_predictions.parquet,a1788b55e0c4570df9cd684033b8dc902450165a3539490b5901d0a2949fc9f8,split_preprocessing_v1,f5377b7f8969d6b74e850d71a803c91f252ec236d5bceeaa02e3e31dedfa81a4,204d2fc3ab00e18a452e4ef2898826cf9dc0bd05dbaf795f8f203ca26f71f453,792df7995558360c99f28f13eb71e8fed182ada164c10582577cd05d5b9e3fd4
speed/h2/random_forest/classical_regression_v1,speed_h2,speed,regression,2,60,random_forest,forest_deep,rmse,minimize,5.0628429743,0.5910077481,3.7590777742,3.7682986979,,,,2.143683,0.075093,classical_regression_v1,artifacts/models/classical_regression_v1/speed_h2.joblib,a085be3ac89d46de03625cc9ff3a4dd09ad7b151ff36881877cc28bf996f6bc4,artifacts/model_cards/classical_regression_v1/speed_h2.json,317a42fc680473fd33f72a8136a4cb19e8eada72ff380a7a1810e2456c719958,artifacts/predictions/classical_regression_v1/selected_predictions.parquet,a1788b55e0c4570df9cd684033b8dc902450165a3539490b5901d0a2949fc9f8,split_preprocessing_v1,f5377b7f8969d6b74e850d71a803c91f252ec236d5bceeaa02e3e31dedfa81a4,204d2fc3ab00e18a452e4ef2898826cf9dc0bd05dbaf795f8f203ca26f71f453,792df7995558360c99f28f13eb71e8fed182ada164c10582577cd05d5b9e3fd4
speed/h3/random_forest/classical_regression_v1,speed_h3,speed,regression,3,90,random_forest,forest_balanced,rmse,minimize,5.2795761885,0.8290471817,3.8544108763,3.7940188313,,,,1.379089,0.072562,classical_regression_v1,artifacts/models/classical_regression_v1/speed_h3.joblib,d6f0250974dceceb7ae3740cd49f730ef4637423928bb65d4a04db38f4ebf7e7,artifacts/model_cards/classical_regression_v1/speed_h3.json,e6b7b647962e2067b1e150018e5be5eb63b6eedbd59f5c5085066098e6e26662,artifacts/predictions/classical_regression_v1/selected_predictions.parquet,a1788b55e0c4570df9cd684033b8dc902450165a3539490b5901d0a2949fc9f8,split_preprocessing_v1,f5377b7f8969d6b74e850d71a803c91f252ec236d5bceeaa02e3e31dedfa81a4,204d2fc3ab00e18a452e4ef2898826cf9dc0bd05dbaf795f8f203ca26f71f453,792df7995558360c99f28f13eb71e8fed182ada164c10582577cd05d5b9e3fd4
speed/h4/random_forest/classical_regression_v1,speed_h4,speed,regression,4,120,random_forest,forest_balanced,rmse,minimize,5.2876036735,0.8017266342,3.8418605814,3.7923349063,,,,1.383769,0.065424,classical_regression_v1,artifacts/models/classical_regression_v1/speed_h4.joblib,451632fab6a083decfed2db9057b755c450b9bda0b065b983d739be190339513,artifacts/model_cards/classical_regression_v1/speed_h4.json,beb59bf7b90802bb8f0dab14c86011d4394f2bce539b41436a2ce23addf8938d,artifacts/predictions/classical_regression_v1/selected_predictions.parquet,a1788b55e0c4570df9cd684033b8dc902450165a3539490b5901d0a2949fc9f8,split_preprocessing_v1,f5377b7f8969d6b74e850d71a803c91f252ec236d5bceeaa02e3e31dedfa81a4,204d2fc3ab00e18a452e4ef2898826cf9dc0bd05dbaf795f8f203ca26f71f453,792df7995558360c99f28f13eb71e8fed182ada164c10582577cd05d5b9e3fd4
travel_time/h1/random_forest/classical_regression_v1,travel_time_h1,travel_time,regression,1,30,random_forest,forest_deep,rmse,minimize,1.6006482401,0.3660809108,1.1004809536,1.1426335123,,,,2.227814,0.066571,classical_regression_v1,artifacts/models/classical_regression_v1/travel_time_h1.joblib,4002e12eafed5092f515c3a9fd20ef795c0d4e6a883097b2f8ef9d8ec0fe9be6,artifacts/model_cards/classical_regression_v1/travel_time_h1.json,4bcbb26b592eabfba43f7cc89ea3d09a02ce9e8e97172b81e6a33b3795c0c46c,artifacts/predictions/classical_regression_v1/selected_predictions.parquet,a1788b55e0c4570df9cd684033b8dc902450165a3539490b5901d0a2949fc9f8,split_preprocessing_v1,f5377b7f8969d6b74e850d71a803c91f252ec236d5bceeaa02e3e31dedfa81a4,204d2fc3ab00e18a452e4ef2898826cf9dc0bd05dbaf795f8f203ca26f71f453,792df7995558360c99f28f13eb71e8fed182ada164c10582577cd05d5b9e3fd4
travel_time/h2/random_forest/classical_regression_v1,travel_time_h2,travel_time,regression,2,60,random_forest,forest_deep,rmse,minimize,1.6406939462,0.3878922675,1.0853351419,1.0948588833,,,,2.125649,0.069916,classical_regression_v1,artifacts/models/classical_regression_v1/travel_time_h2.joblib,16843d401a6d6ad76e1f1bf41f97d00f4fe3cc93c98647f2402f88154215e8cc,artifacts/model_cards/classical_regression_v1/travel_time_h2.json,6928af6b17e7e78c9d4b9aab0c6a109eee6ceadb3cf74b0318a21452ce175d27,artifacts/predictions/classical_regression_v1/selected_predictions.parquet,a1788b55e0c4570df9cd684033b8dc902450165a3539490b5901d0a2949fc9f8,split_preprocessing_v1,f5377b7f8969d6b74e850d71a803c91f252ec236d5bceeaa02e3e31dedfa81a4,204d2fc3ab00e18a452e4ef2898826cf9dc0bd05dbaf795f8f203ca26f71f453,792df7995558360c99f28f13eb71e8fed182ada164c10582577cd05d5b9e3fd4
