job_id,target,target_column,horizon_windows,family,candidate_id,preprocessing_family,fold_count,successful_folds,status,mean_rmse,std_rmse,mean_mae,std_mae,mean_mape_percent,std_mape_percent,mean_r_squared,std_r_squared,fit_seconds,prediction_seconds,failure,parameters_json
volume_h1,volume,target_volume_h1,1,linear_regression,linear_default,linear,5,5,success,84.1514848243,4.4739467886,61.0996071644,3.1979295235,17.8284368721,1.556900104,0.9082723293,0.006541992,0.176529,0.108747,,{}
volume_h1,volume,target_volume_h1,1,decision_tree,tree_balanced,tree,5,5,success,96.7569397756,9.519825145,63.3777391609,5.1514177943,15.1473958167,0.8427606089,0.8791910176,0.0130691461,0.210626,0.106339,,"{""max_depth"":8,""min_samples_leaf"":12}"
volume_h1,volume,target_volume_h1,1,decision_tree,tree_deep,tree,5,5,success,102.201955163,7.8281936076,67.6168020773,4.7774053872,16.2483756448,0.7872121614,0.8651697474,0.0089650896,0.232897,0.154408,,"{""max_depth"":14,""min_samples_leaf"":6}"
volume_h1,volume,target_volume_h1,1,random_forest,forest_balanced,tree,5,5,success,81.7403605173,7.8311887356,53.9313205246,3.6082940821,13.3849081795,1.4246996833,0.9134630035,0.0114823831,0.25982,0.17965,,"{""max_depth"":10,""max_features"":0.7,""min_samples_leaf"":8,""n_estimators"":12}"
volume_h1,volume,target_volume_h1,1,random_forest,forest_deep,tree,5,5,success,80.7527810741,7.2621593162,53.4497670463,3.4464483361,13.2458965016,1.3970691083,0.9155361216,0.0105067852,0.390208,0.196759,,"{""max_depth"":14,""max_features"":0.9,""min_samples_leaf"":4,""n_estimators"":24}"
volume_h1,volume,target_volume_h1,1,xgboost,xgb_balanced,tree,5,5,success,84.4032394565,9.0129857166,57.6328336937,3.4069815501,16.1971638236,2.127682929,0.9077877164,0.0135996779,0.311044,0.112668,,"{""colsample_bytree"":1.0,""learning_rate"":0.1,""max_depth"":4,""min_child_weight"":4,""n_estimators"":24,""subsample"":1.0}"
volume_h1,volume,target_volume_h1,1,xgboost,xgb_deep,tree,5,5,success,83.9315967194,9.6143735153,57.4075494285,3.631941177,16.2557577044,2.0606000875,0.9087697331,0.0149099541,0.334452,0.10793,,"{""colsample_bytree"":1.0,""learning_rate"":0.06,""max_depth"":6,""min_child_weight"":3,""n_estimators"":40,""subsample"":1.0}"
volume_h2,volume,target_volume_h2,2,linear_regression,linear_default,linear,5,5,success,106.762758896,6.1938905709,80.1867882605,4.6770110497,24.5074759525,2.1616216295,0.8520115661,0.0120699952,0.159395,0.102461,,{}
volume_h2,volume,target_volume_h2,2,decision_tree,tree_balanced,tree,5,5,success,113.25502649,15.0397200589,74.8797440303,8.0817496765,18.6065815961,2.9533072991,0.8306448156,0.0425169458,0.209862,0.102676,,"{""max_depth"":8,""min_samples_leaf"":12}"
volume_h2,volume,target_volume_h2,2,decision_tree,tree_deep,tree,5,5,success,119.28698557,15.4246082633,79.0355533264,7.9808109798,19.6235420157,2.9195931587,0.8126286075,0.0450688279,0.231263,0.105173,,"{""max_depth"":14,""min_samples_leaf"":6}"
