job_id,target,target_column,horizon_windows,family,candidate_id,fold,status,failure,full_training_rows,sampled_training_rows,sampled_training_timestamps,validation_rows,training_origin_start,training_origin_end,maximum_training_target_timestamp,validation_origin_start,validation_origin_end,rows,rmse,mae,mape_percent,r_squared,mape_nonzero_rows,mape_zero_actual_rows,fit_seconds,prediction_seconds
volume_h1,volume,target_volume_h1,1,linear_regression,linear_default,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:00:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,84.9013955418,60.7658274603,19.8865274187,0.9112974182,8400,0,0.047054,0.021359
volume_h1,volume,target_volume_h1,1,linear_regression,linear_default,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:00:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,79.0441702158,56.9933709911,15.1443337378,0.9186131172,8400,0,0.030618,0.019941
volume_h1,volume,target_volume_h1,1,linear_regression,linear_default,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:00:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,87.9846974954,65.7852059502,18.0600047172,0.906122375,8400,0,0.033377,0.020518
volume_h1,volume,target_volume_h1,1,linear_regression,linear_default,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:00:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,79.0004915222,58.5094091444,18.5491696738,0.8987666458,8400,0,0.030147,0.020622
volume_h1,volume,target_volume_h1,1,linear_regression,linear_default,5,success,,118350,2400,96,8375,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:00:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T16:00:00+05:30,8375,89.8266693464,63.4442222758,17.502148813,0.9065620903,8375,0,0.03266,0.021447
volume_h1,volume,target_volume_h1,1,decision_tree,tree_balanced,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:00:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,95.7009638207,62.1514783228,16.3990218599,0.8872960269,8400,0,0.041917,0.02046
volume_h1,volume,target_volume_h1,1,decision_tree,tree_balanced,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:00:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,90.5814866578,61.1878998133,14.0572874051,0.8931206967,8400,0,0.042539,0.019678
volume_h1,volume,target_volume_h1,1,decision_tree,tree_balanced,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:00:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,102.821750173,68.4763930114,14.7061338877,0.8717912142,8400,0,0.041165,0.019721
volume_h1,volume,target_volume_h1,1,decision_tree,tree_balanced,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:00:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,83.6212545657,55.5017395217,14.7569460855,0.8865779747,8400,0,0.042991,0.020858
volume_h1,volume,target_volume_h1,1,decision_tree,tree_balanced,5,success,,118350,2400,96,8375,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:00:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T16:00:00+05:30,8375,111.059243661,69.5711851355,15.8175898452,0.8571691754,8375,0,0.042994,0.020866
volume_h1,volume,target_volume_h1,1,decision_tree,tree_deep,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:00:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,102.994354803,67.0010282115,17.654466159,0.8694630546,8400,0,0.045115,0.021391
volume_h1,volume,target_volume_h1,1,decision_tree,tree_deep,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:00:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,96.4601348655,65.8927264696,15.2739500409,0.8787978133,8400,0,0.045823,0.021006
volume_h1,volume,target_volume_h1,1,decision_tree,tree_deep,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:00:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,109.656068261,73.5950944736,15.9098139371,0.8541813263,8400,0,0.044593,0.020634
volume_h1,volume,target_volume_h1,1,decision_tree,tree_deep,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:00:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,90.6029637355,59.9491926506,16.0390957267,0.866847646,8400,0,0.046727,0.021115
volume_h1,volume,target_volume_h1,1,decision_tree,tree_deep,5,success,,118350,2400,96,8375,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:00:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T16:00:00+05:30,8375,111.29625415,71.6459685813,16.3645523602,0.856558897,8375,0,0.04539,0.020306
volume_h1,volume,target_volume_h1,1,random_forest,forest_balanced,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:00:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,81.3167895479,54.0668547317,15.8603981776,0.9186294875,8400,0,0.0547,0.035099
volume_h1,volume,target_volume_h1,1,random_forest,forest_balanced,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:00:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,75.0091892159,51.040541543,11.8933850813,0.9267101778,8400,0,0.053174,0.038299
