job_id,target,target_column,horizon_windows,horizon_minutes,selected_family,candidate_id,model_version,test_start,test_end,validation_rows,validation_rmse,validation_mae,validation_mape_percent,validation_r_squared,validation_mape_nonzero_rows,validation_mape_zero_actual_rows,validation_fit_seconds,validation_prediction_seconds,test_rows,test_rmse,test_mae,test_mape_percent,test_r_squared,test_mape_nonzero_rows,test_mape_zero_actual_rows,test_prediction_seconds
volume_h1,volume,target_volume_h1,1,30,random_forest,forest_deep,classical_regression_v1,2025-05-09T08:30:00+05:30,2025-05-31T23:00:00+05:30,27150,61.192570471,41.2147894069,9.9766787652,0.9517806646,27150,0,2.126796,0.066939,27150,63.4594878679,42.2053668753,10.2175958928,0.9513957024,27150,0,0.072314
volume_h2,volume,target_volume_h2,2,60,random_forest,forest_deep,classical_regression_v1,2025-05-09T08:30:00+05:30,2025-05-31T22:30:00+05:30,27125,61.1235555945,41.115935706,10.0936886813,0.951776362,27125,0,2.082366,0.07191,27125,62.8625581165,42.0109050389,10.2634226366,0.9521587897,27125,0,0.069879
volume_h3,volume,target_volume_h3,3,90,random_forest,forest_balanced,classical_regression_v1,2025-05-09T08:30:00+05:30,2025-05-31T22:00:00+05:30,27100,65.6564903895,44.2078891315,11.1107227124,0.9442008321,27100,0,1.406168,0.068483,27100,65.30578945,44.0438468443,10.9516888502,0.9482755677,27100,0,0.065933
volume_h4,volume,target_volume_h4,4,120,random_forest,forest_deep,classical_regression_v1,2025-05-09T08:30:00+05:30,2025-05-31T21:30:00+05:30,27075,60.5923775842,41.2371421908,10.5554606729,0.9523784344,27075,0,2.112411,0.069832,27075,62.0091681736,41.6263444947,10.2947558886,0.9533482816,27075,0,0.072206
speed_h1,speed,target_speed_h1,1,30,random_forest,forest_deep,classical_regression_v1,2025-05-09T08:30:00+05:30,2025-05-31T23:00:00+05:30,27150,3.7229821969,2.8127505806,8.8385146432,0.8928018272,27150,0,2.113655,0.068673,27150,3.7399844314,2.8213862472,9.0286201567,0.8980231916,27150,0,0.074895
speed_h2,speed,target_speed_h2,2,60,random_forest,forest_deep,classical_regression_v1,2025-05-09T08:30:00+05:30,2025-05-31T22:30:00+05:30,27125,3.7590777742,2.8335186851,8.8629248669,0.8903613758,27125,0,2.101445,0.068775,27125,3.7682986979,2.8537939106,9.0561166237,0.8960345175,27125,0,0.079872
speed_h3,speed,target_speed_h3,3,90,random_forest,forest_balanced,classical_regression_v1,2025-05-09T08:30:00+05:30,2025-05-31T22:00:00+05:30,27100,3.8544108763,2.9143107317,9.0850935217,0.8843770566,27100,0,1.431473,0.071599,27100,3.7940188313,2.8714671676,9.1447160492,0.8943737872,27100,0,0.073882
speed_h4,speed,target_speed_h4,4,120,random_forest,forest_balanced,classical_regression_v1,2025-05-09T08:30:00+05:30,2025-05-31T21:30:00+05:30,27075,3.8418605814,2.9119783211,9.0620157884,0.8848580965,27075,0,1.407967,0.067301,27075,3.7923349063,2.8730982037,9.0851187838,0.8944522222,27075,0,0.068711
travel_time_h1,travel_time,target_travel_time_h1,1,30,random_forest,forest_deep,classical_regression_v1,2025-05-09T08:30:00+05:30,2025-05-31T23:00:00+05:30,27150,1.1004809536,0.4405902833,9.5145271974,0.7796204661,27150,0,2.22995,0.070559,27150,1.1426335123,0.4610248102,9.7532276832,0.8065249258,27150,0,0.067082
travel_time_h2,travel_time,target_travel_time_h2,2,60,random_forest,forest_deep,classical_regression_v1,2025-05-09T08:30:00+05:30,2025-05-31T22:30:00+05:30,27125,1.0853351419,0.4365356943,9.579594156,0.7852796097,27125,0,2.149745,0.078865,27125,1.0948588833,0.4393373466,9.3162069585,0.8209535241,27125,0,0.070178
travel_time_h3,travel_time,target_travel_time_h3,3,90,random_forest,forest_deep,classical_regression_v1,2025-05-09T08:30:00+05:30,2025-05-31T22:00:00+05:30,27100,1.0870033994,0.4356693844,9.6989379678,0.783648096,27100,0,2.120534,0.070117,27100,1.0821702643,0.4290678887,9.0121382581,0.8246813366,27100,0,0.067125
travel_time_h4,travel_time,target_travel_time_h4,4,120,random_forest,forest_deep,classical_regression_v1,2025-05-09T08:30:00+05:30,2025-05-31T21:30:00+05:30,27075,1.0822502765,0.4312424022,9.5005054154,0.7850302527,27075,0,2.161758,0.068963,27075,1.1015849175,0.4381270522,9.2029608944,0.8184442912,27075,0,0.069227
