model_version,horizon_windows,horizon_minutes,split,risk_band,probability_lower,probability_upper,rows,event_rows,observed_event_rate,mean_accident_probability,operating_threshold
classical_classification_v1,1,30,test,low,0,0.00666385785,3685,25,0.0067842605156,0.00616385687246,0.0133277157
classical_classification_v1,1,30,test,elevated,0.00666385785,0.0133277157,21114,188,0.00890404470967,0.00840096167865,0.0133277157
classical_classification_v1,1,30,test,high,0.0133277157,0.0266554314,1646,45,0.0273390036452,0.0156251970462,0.0133277157
classical_classification_v1,1,30,test,critical,0.0266554314,1,11,1,0.0909090909091,0.0282144966087,0.0133277157
classical_classification_v1,1,30,validation,low,0,0.00666385785,2723,24,0.00881380829967,0.00623777641027,0.0133277157
classical_classification_v1,1,30,validation,elevated,0.00666385785,0.0133277157,22021,173,0.00785613732346,0.00845406674991,0.0133277157
classical_classification_v1,1,30,validation,high,0.0133277157,0.0266554314,1709,39,0.0228203627853,0.0154252144742,0.0133277157
classical_classification_v1,1,30,validation,critical,0.0266554314,1,2,0,0,0.0313426944,0.0133277157
classical_classification_v1,2,60,test,low,0,0.00949977125,18758,132,0.00703699754771,0.00732803301764,0.0189995425
classical_classification_v1,2,60,test,elevated,0.00949977125,0.0189995425,7319,115,0.015712529034,0.0122609307544,0.0189995425
classical_classification_v1,2,60,test,high,0.0189995425,0.037999085,355,11,0.030985915493,0.0223019029178,0.0189995425
classical_classification_v1,2,60,test,critical,0.037999085,1,0,0,,,0.0189995425
classical_classification_v1,2,60,validation,low,0,0.00949977125,19025,144,0.00756898817346,0.00742333847741,0.0189995425
classical_classification_v1,2,60,validation,elevated,0.00949977125,0.0189995425,7110,85,0.0119549929677,0.0120456216414,0.0189995425
classical_classification_v1,2,60,validation,high,0.0189995425,0.037999085,296,7,0.0236486486486,0.0223117650382,0.0189995425
classical_classification_v1,2,60,validation,critical,0.037999085,1,0,0,,,0.0189995425
classical_classification_v1,3,90,test,low,0,0.00661006405,970,5,0.00515463917526,0.00614688176834,0.0132201281
classical_classification_v1,3,90,test,elevated,0.00661006405,0.0132201281,24856,240,0.00965561635018,0.00874159444055,0.0132201281
classical_classification_v1,3,90,test,high,0.0132201281,0.0264402562,583,13,0.0222984562607,0.0148832664591,0.0132201281
classical_classification_v1,3,90,test,critical,0.0264402562,1,0,0,,,0.0132201281
classical_classification_v1,3,90,validation,low,0,0.00661006405,815,1,0.00122699386503,0.00614095871403,0.0132201281
classical_classification_v1,3,90,validation,elevated,0.00661006405,0.0132201281,25181,229,0.00909415829395,0.00869262346261,0.0132201281
classical_classification_v1,3,90,validation,high,0.0132201281,0.0264402562,411,6,0.014598540146,0.0152501504696,0.0132201281
classical_classification_v1,3,90,validation,critical,0.0264402562,1,0,0,,,0.0132201281
classical_classification_v1,4,120,test,low,0,0.00510825375,0,0,,,0.0102165075
classical_classification_v1,4,120,test,elevated,0.00510825375,0.0102165075,24328,214,0.00879644853667,0.00842345470992,0.0102165075
classical_classification_v1,4,120,test,high,0.0102165075,0.020433015,2056,44,0.0214007782101,0.011020680474,0.0102165075
classical_classification_v1,4,120,test,critical,0.020433015,1,0,0,,,0.0102165075
classical_classification_v1,4,120,validation,low,0,0.00510825375,0,0,,,0.0102165075
classical_classification_v1,4,120,validation,elevated,0.00510825375,0.0102165075,24447,217,0.00887634474578,0.00849828005849,0.0102165075
classical_classification_v1,4,120,validation,high,0.0102165075,0.020433015,1936,19,0.00981404958678,0.0109444292844,0.0102165075
classical_classification_v1,4,120,validation,critical,0.020433015,1,0,0,,,0.0102165075
