task,horizon_windows,horizon_minutes,split,model_version,reliability_type,bin_index,bin_lower,bin_upper,rows,mean_probability,observed_rate,absolute_gap,expected_calibration_error
accident,1,30,test,classical_classification_v1,accident_probability_vs_event,0,0,0.1,26456,0.00854706498559,0.0097898397339,0.00124277474831,0.00124277474831
accident,1,30,test,classical_classification_v1,accident_probability_vs_event,1,0.1,0.2,0,,,,0.00124277474831
accident,1,30,test,classical_classification_v1,accident_probability_vs_event,2,0.2,0.3,0,,,,0.00124277474831
accident,1,30,test,classical_classification_v1,accident_probability_vs_event,3,0.3,0.4,0,,,,0.00124277474831
accident,1,30,test,classical_classification_v1,accident_probability_vs_event,4,0.4,0.5,0,,,,0.00124277474831
accident,1,30,test,classical_classification_v1,accident_probability_vs_event,5,0.5,0.6,0,,,,0.00124277474831
accident,1,30,test,classical_classification_v1,accident_probability_vs_event,6,0.6,0.7,0,,,,0.00124277474831
accident,1,30,test,classical_classification_v1,accident_probability_vs_event,7,0.7,0.8,0,,,,0.00124277474831
accident,1,30,test,classical_classification_v1,accident_probability_vs_event,8,0.8,0.9,0,,,,0.00124277474831
accident,1,30,test,classical_classification_v1,accident_probability_vs_event,9,0.9,1,0,,,,0.00124277474831
accident,1,30,validation,classical_classification_v1,accident_probability_vs_event,0,0,0.1,26455,0.00867801345644,0.00892080892081,0.000242795464367,0.000242795464367
accident,1,30,validation,classical_classification_v1,accident_probability_vs_event,1,0.1,0.2,0,,,,0.000242795464367
accident,1,30,validation,classical_classification_v1,accident_probability_vs_event,2,0.2,0.3,0,,,,0.000242795464367
accident,1,30,validation,classical_classification_v1,accident_probability_vs_event,3,0.3,0.4,0,,,,0.000242795464367
accident,1,30,validation,classical_classification_v1,accident_probability_vs_event,4,0.4,0.5,0,,,,0.000242795464367
accident,1,30,validation,classical_classification_v1,accident_probability_vs_event,5,0.5,0.6,0,,,,0.000242795464367
accident,1,30,validation,classical_classification_v1,accident_probability_vs_event,6,0.6,0.7,0,,,,0.000242795464367
accident,1,30,validation,classical_classification_v1,accident_probability_vs_event,7,0.7,0.8,0,,,,0.000242795464367
accident,1,30,validation,classical_classification_v1,accident_probability_vs_event,8,0.8,0.9,0,,,,0.000242795464367
accident,1,30,validation,classical_classification_v1,accident_probability_vs_event,9,0.9,1,0,,,,0.000242795464367
accident,2,60,test,classical_classification_v1,accident_probability_vs_event,0,0,0.1,26432,0.00889505792494,0.00976089588378,0.000865837958839,0.000865837958839
accident,2,60,test,classical_classification_v1,accident_probability_vs_event,1,0.1,0.2,0,,,,0.000865837958839
accident,2,60,test,classical_classification_v1,accident_probability_vs_event,2,0.2,0.3,0,,,,0.000865837958839
accident,2,60,test,classical_classification_v1,accident_probability_vs_event,3,0.3,0.4,0,,,,0.000865837958839
accident,2,60,test,classical_classification_v1,accident_probability_vs_event,4,0.4,0.5,0,,,,0.000865837958839
accident,2,60,test,classical_classification_v1,accident_probability_vs_event,5,0.5,0.6,0,,,,0.000865837958839
accident,2,60,test,classical_classification_v1,accident_probability_vs_event,6,0.6,0.7,0,,,,0.000865837958839
accident,2,60,test,classical_classification_v1,accident_probability_vs_event,7,0.7,0.8,0,,,,0.000865837958839
accident,2,60,test,classical_classification_v1,accident_probability_vs_event,8,0.8,0.9,0,,,,0.000865837958839
accident,2,60,test,classical_classification_v1,accident_probability_vs_event,9,0.9,1,0,,,,0.000865837958839
accident,2,60,validation,classical_classification_v1,accident_probability_vs_event,0,0,0.1,26431,0.00883347837214,0.00892890923537,9.54308632226e-05,9.54308632226e-05
accident,2,60,validation,classical_classification_v1,accident_probability_vs_event,1,0.1,0.2,0,,,,9.54308632226e-05
accident,2,60,validation,classical_classification_v1,accident_probability_vs_event,2,0.2,0.3,0,,,,9.54308632226e-05
accident,2,60,validation,classical_classification_v1,accident_probability_vs_event,3,0.3,0.4,0,,,,9.54308632226e-05
accident,2,60,validation,classical_classification_v1,accident_probability_vs_event,4,0.4,0.5,0,,,,9.54308632226e-05
accident,2,60,validation,classical_classification_v1,accident_probability_vs_event,5,0.5,0.6,0,,,,9.54308632226e-05
accident,2,60,validation,classical_classification_v1,accident_probability_vs_event,6,0.6,0.7,0,,,,9.54308632226e-05
accident,2,60,validation,classical_classification_v1,accident_probability_vs_event,7,0.7,0.8,0,,,,9.54308632226e-05
accident,2,60,validation,classical_classification_v1,accident_probability_vs_event,8,0.8,0.9,0,,,,9.54308632226e-05
accident,2,60,validation,classical_classification_v1,accident_probability_vs_event,9,0.9,1,0,,,,9.54308632226e-05
accident,3,90,test,classical_classification_v1,accident_probability_vs_event,0,0,0.1,26409,0.00878187326575,0.00976939679655,0.000987523530797,0.000987523530797
accident,3,90,test,classical_classification_v1,accident_probability_vs_event,1,0.1,0.2,0,,,,0.000987523530797
accident,3,90,test,classical_classification_v1,accident_probability_vs_event,2,0.2,0.3,0,,,,0.000987523530797
accident,3,90,test,classical_classification_v1,accident_probability_vs_event,3,0.3,0.4,0,,,,0.000987523530797
accident,3,90,test,classical_classification_v1,accident_probability_vs_event,4,0.4,0.5,0,,,,0.000987523530797
accident,3,90,test,classical_classification_v1,accident_probability_vs_event,5,0.5,0.6,0,,,,0.000987523530797
accident,3,90,test,classical_classification_v1,accident_probability_vs_event,6,0.6,0.7,0,,,,0.000987523530797
accident,3,90,test,classical_classification_v1,accident_probability_vs_event,7,0.7,0.8,0,,,,0.000987523530797
accident,3,90,test,classical_classification_v1,accident_probability_vs_event,8,0.8,0.9,0,,,,0.000987523530797
accident,3,90,test,classical_classification_v1,accident_probability_vs_event,9,0.9,1,0,,,,0.000987523530797
accident,3,90,validation,classical_classification_v1,accident_probability_vs_event,0,0,0.1,26407,0.00871593307104,0.00893702427387,0.000221091202828,0.000221091202828
