model_version,horizon_windows,horizon_minutes,split,dimension,slice_value,actual_label,predicted_label,rows
classical_classification_v1,1,30,test,overall,all,Free-flow,Free-flow,15352
classical_classification_v1,1,30,test,overall,all,Free-flow,Moderate,958
classical_classification_v1,1,30,test,overall,all,Free-flow,Heavy,7
classical_classification_v1,1,30,test,overall,all,Free-flow,Severe,0
classical_classification_v1,1,30,test,overall,all,Moderate,Free-flow,545
classical_classification_v1,1,30,test,overall,all,Moderate,Moderate,5404
classical_classification_v1,1,30,test,overall,all,Moderate,Heavy,579
classical_classification_v1,1,30,test,overall,all,Moderate,Severe,39
classical_classification_v1,1,30,test,overall,all,Heavy,Free-flow,2
classical_classification_v1,1,30,test,overall,all,Heavy,Moderate,444
classical_classification_v1,1,30,test,overall,all,Heavy,Heavy,1553
classical_classification_v1,1,30,test,overall,all,Heavy,Severe,677
classical_classification_v1,1,30,test,overall,all,Severe,Free-flow,0
classical_classification_v1,1,30,test,overall,all,Severe,Moderate,20
classical_classification_v1,1,30,test,overall,all,Severe,Heavy,426
classical_classification_v1,1,30,test,overall,all,Severe,Severe,1144
classical_classification_v1,1,30,test,road_id,NL-001,Free-flow,Free-flow,649
classical_classification_v1,1,30,test,road_id,NL-001,Free-flow,Moderate,37
classical_classification_v1,1,30,test,road_id,NL-001,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-001,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-001,Moderate,Free-flow,27
classical_classification_v1,1,30,test,road_id,NL-001,Moderate,Moderate,180
classical_classification_v1,1,30,test,road_id,NL-001,Moderate,Heavy,28
classical_classification_v1,1,30,test,road_id,NL-001,Moderate,Severe,1
classical_classification_v1,1,30,test,road_id,NL-001,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-001,Heavy,Moderate,15
classical_classification_v1,1,30,test,road_id,NL-001,Heavy,Heavy,62
classical_classification_v1,1,30,test,road_id,NL-001,Heavy,Severe,22
classical_classification_v1,1,30,test,road_id,NL-001,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-001,Severe,Moderate,0
classical_classification_v1,1,30,test,road_id,NL-001,Severe,Heavy,13
classical_classification_v1,1,30,test,road_id,NL-001,Severe,Severe,52
classical_classification_v1,1,30,test,road_id,NL-002,Free-flow,Free-flow,591
classical_classification_v1,1,30,test,road_id,NL-002,Free-flow,Moderate,44
classical_classification_v1,1,30,test,road_id,NL-002,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-002,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-002,Moderate,Free-flow,47
classical_classification_v1,1,30,test,road_id,NL-002,Moderate,Moderate,208
classical_classification_v1,1,30,test,road_id,NL-002,Moderate,Heavy,23
classical_classification_v1,1,30,test,road_id,NL-002,Moderate,Severe,0
classical_classification_v1,1,30,test,road_id,NL-002,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-002,Heavy,Moderate,16
classical_classification_v1,1,30,test,road_id,NL-002,Heavy,Heavy,62
classical_classification_v1,1,30,test,road_id,NL-002,Heavy,Severe,37
classical_classification_v1,1,30,test,road_id,NL-002,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-002,Severe,Moderate,0
classical_classification_v1,1,30,test,road_id,NL-002,Severe,Heavy,23
classical_classification_v1,1,30,test,road_id,NL-002,Severe,Severe,35
classical_classification_v1,1,30,test,road_id,NL-003,Free-flow,Free-flow,558
classical_classification_v1,1,30,test,road_id,NL-003,Free-flow,Moderate,37
classical_classification_v1,1,30,test,road_id,NL-003,Free-flow,Heavy,1
classical_classification_v1,1,30,test,road_id,NL-003,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-003,Moderate,Free-flow,26
classical_classification_v1,1,30,test,road_id,NL-003,Moderate,Moderate,260
classical_classification_v1,1,30,test,road_id,NL-003,Moderate,Heavy,20
classical_classification_v1,1,30,test,road_id,NL-003,Moderate,Severe,0
classical_classification_v1,1,30,test,road_id,NL-003,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-003,Heavy,Moderate,16
classical_classification_v1,1,30,test,road_id,NL-003,Heavy,Heavy,73
classical_classification_v1,1,30,test,road_id,NL-003,Heavy,Severe,28
classical_classification_v1,1,30,test,road_id,NL-003,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-003,Severe,Moderate,1
classical_classification_v1,1,30,test,road_id,NL-003,Severe,Heavy,15
classical_classification_v1,1,30,test,road_id,NL-003,Severe,Severe,51
classical_classification_v1,1,30,test,road_id,NL-004,Free-flow,Free-flow,548
classical_classification_v1,1,30,test,road_id,NL-004,Free-flow,Moderate,39
classical_classification_v1,1,30,test,road_id,NL-004,Free-flow,Heavy,1
classical_classification_v1,1,30,test,road_id,NL-004,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-004,Moderate,Free-flow,18
classical_classification_v1,1,30,test,road_id,NL-004,Moderate,Moderate,265
classical_classification_v1,1,30,test,road_id,NL-004,Moderate,Heavy,18
classical_classification_v1,1,30,test,road_id,NL-004,Moderate,Severe,2
classical_classification_v1,1,30,test,road_id,NL-004,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-004,Heavy,Moderate,21
classical_classification_v1,1,30,test,road_id,NL-004,Heavy,Heavy,62
classical_classification_v1,1,30,test,road_id,NL-004,Heavy,Severe,26
classical_classification_v1,1,30,test,road_id,NL-004,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-004,Severe,Moderate,0
classical_classification_v1,1,30,test,road_id,NL-004,Severe,Heavy,30
classical_classification_v1,1,30,test,road_id,NL-004,Severe,Severe,56
classical_classification_v1,1,30,test,road_id,NL-005,Free-flow,Free-flow,542
classical_classification_v1,1,30,test,road_id,NL-005,Free-flow,Moderate,43
classical_classification_v1,1,30,test,road_id,NL-005,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-005,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-005,Moderate,Free-flow,19
classical_classification_v1,1,30,test,road_id,NL-005,Moderate,Moderate,268
classical_classification_v1,1,30,test,road_id,NL-005,Moderate,Heavy,14
classical_classification_v1,1,30,test,road_id,NL-005,Moderate,Severe,4
classical_classification_v1,1,30,test,road_id,NL-005,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-005,Heavy,Moderate,24
classical_classification_v1,1,30,test,road_id,NL-005,Heavy,Heavy,74
classical_classification_v1,1,30,test,road_id,NL-005,Heavy,Severe,26
classical_classification_v1,1,30,test,road_id,NL-005,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-005,Severe,Moderate,0
classical_classification_v1,1,30,test,road_id,NL-005,Severe,Heavy,21
classical_classification_v1,1,30,test,road_id,NL-005,Severe,Severe,51
classical_classification_v1,1,30,test,road_id,NL-006,Free-flow,Free-flow,541
classical_classification_v1,1,30,test,road_id,NL-006,Free-flow,Moderate,35
classical_classification_v1,1,30,test,road_id,NL-006,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-006,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-006,Moderate,Free-flow,30
classical_classification_v1,1,30,test,road_id,NL-006,Moderate,Moderate,263
classical_classification_v1,1,30,test,road_id,NL-006,Moderate,Heavy,17
classical_classification_v1,1,30,test,road_id,NL-006,Moderate,Severe,3
classical_classification_v1,1,30,test,road_id,NL-006,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-006,Heavy,Moderate,33
classical_classification_v1,1,30,test,road_id,NL-006,Heavy,Heavy,56
classical_classification_v1,1,30,test,road_id,NL-006,Heavy,Severe,37
classical_classification_v1,1,30,test,road_id,NL-006,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-006,Severe,Moderate,0
classical_classification_v1,1,30,test,road_id,NL-006,Severe,Heavy,18
classical_classification_v1,1,30,test,road_id,NL-006,Severe,Severe,53
classical_classification_v1,1,30,test,road_id,NL-007,Free-flow,Free-flow,674
classical_classification_v1,1,30,test,road_id,NL-007,Free-flow,Moderate,32
classical_classification_v1,1,30,test,road_id,NL-007,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-007,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-007,Moderate,Free-flow,12
classical_classification_v1,1,30,test,road_id,NL-007,Moderate,Moderate,187
classical_classification_v1,1,30,test,road_id,NL-007,Moderate,Heavy,21
classical_classification_v1,1,30,test,road_id,NL-007,Moderate,Severe,2
classical_classification_v1,1,30,test,road_id,NL-007,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-007,Heavy,Moderate,13
classical_classification_v1,1,30,test,road_id,NL-007,Heavy,Heavy,58
classical_classification_v1,1,30,test,road_id,NL-007,Heavy,Severe,19
classical_classification_v1,1,30,test,road_id,NL-007,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-007,Severe,Moderate,2
classical_classification_v1,1,30,test,road_id,NL-007,Severe,Heavy,16
classical_classification_v1,1,30,test,road_id,NL-007,Severe,Severe,50
classical_classification_v1,1,30,test,road_id,NL-008,Free-flow,Free-flow,672
classical_classification_v1,1,30,test,road_id,NL-008,Free-flow,Moderate,45
classical_classification_v1,1,30,test,road_id,NL-008,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-008,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-008,Moderate,Free-flow,12
classical_classification_v1,1,30,test,road_id,NL-008,Moderate,Moderate,179
classical_classification_v1,1,30,test,road_id,NL-008,Moderate,Heavy,27
classical_classification_v1,1,30,test,road_id,NL-008,Moderate,Severe,0
classical_classification_v1,1,30,test,road_id,NL-008,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-008,Heavy,Moderate,10
classical_classification_v1,1,30,test,road_id,NL-008,Heavy,Heavy,59
classical_classification_v1,1,30,test,road_id,NL-008,Heavy,Severe,22
classical_classification_v1,1,30,test,road_id,NL-008,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-008,Severe,Moderate,1
classical_classification_v1,1,30,test,road_id,NL-008,Severe,Heavy,13
classical_classification_v1,1,30,test,road_id,NL-008,Severe,Severe,46
classical_classification_v1,1,30,test,road_id,NL-009,Free-flow,Free-flow,537
classical_classification_v1,1,30,test,road_id,NL-009,Free-flow,Moderate,34
classical_classification_v1,1,30,test,road_id,NL-009,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-009,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-009,Moderate,Free-flow,17
classical_classification_v1,1,30,test,road_id,NL-009,Moderate,Moderate,291
classical_classification_v1,1,30,test,road_id,NL-009,Moderate,Heavy,19
classical_classification_v1,1,30,test,road_id,NL-009,Moderate,Severe,2
classical_classification_v1,1,30,test,road_id,NL-009,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-009,Heavy,Moderate,19
classical_classification_v1,1,30,test,road_id,NL-009,Heavy,Heavy,60
classical_classification_v1,1,30,test,road_id,NL-009,Heavy,Severe,22
classical_classification_v1,1,30,test,road_id,NL-009,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-009,Severe,Moderate,4
classical_classification_v1,1,30,test,road_id,NL-009,Severe,Heavy,29
