task_type,model_version,target,horizon_windows,horizon_minutes,split,dimension,slice_value,rows,positive_rows,sufficient_support,rmse,mae,mape_percent,r_squared,bias,residual_standard_deviation,residual_q10,residual_median,residual_q90,interval_coverage,mean_interval_width,task,accuracy,precision,recall,f1,roc_auc,pr_auc,prevalence,mean_confidence,mean_normalized_entropy,macro_precision,macro_recall,macro_f1
regression,classical_regression_v1,speed,1,30,test,overall,all,27150,,True,3.7399844314,2.8213862472,9.0286201567,0.8980231916,-0.0300192180653,3.73986395391,-4.41612061088,-0.0614903150699,4.36346291004,0.898011049724,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-001,1086,,True,3.6980552789,2.7952602878,8.7365874721,0.8990507642,-0.16471045546,3.69438537673,-4.56471574716,-0.268220928389,4.17813340702,0.901473296501,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-002,1086,,True,3.6862501103,2.8166368375,9.0528000457,0.8992169407,-0.195770393215,3.68104792537,-4.57120850509,-0.145305165027,4.15033829957,0.897790055249,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-003,1086,,True,3.7342335644,2.8363544879,9.6278099238,0.8995921412,0.360297410188,3.71681127976,-4.07592312908,0.476010345922,4.6960192862,0.894106813996,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-004,1086,,True,3.9709634734,3.0091629567,10.2219376205,0.8924507504,0.427119150437,3.94792605536,-4.19391039838,0.491110264685,4.94054408009,0.882136279926,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-005,1086,,True,3.7704840256,2.8493719999,9.814316399,0.9013834003,0.481571196883,3.73960411939,-3.91798575809,0.497273771205,4.8231617978,0.889502762431,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-006,1086,,True,3.9689692205,3.0284818318,9.9077704955,0.8878188976,0.179790669451,3.96489495298,-4.47462939887,0.173568708412,4.79276558624,0.876611418048,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-007,1086,,True,3.8053556184,2.7959642701,8.7141373626,0.8937929239,-0.309951313016,3.7927116376,-4.44520143026,-0.395533961404,4.00581438494,0.910681399632,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-008,1086,,True,3.6562903994,2.7741945005,8.5213760673,0.8991062863,-0.301450691427,3.64384233544,-4.53218751433,-0.321235393891,3.78607179742,0.903314917127,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-009,1086,,True,4.0559068751,3.0399477941,10.8664719825,0.8893108802,0.576764584455,4.01468843044,-4.03937967152,0.304982490046,5.41216547364,0.879373848987,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-010,1086,,True,3.6662407528,2.7720428638,8.5220056344,0.9018247634,-0.291692615942,3.65461854032,-4.72410387561,-0.244548183594,3.95785338323,0.910681399632,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-011,1086,,True,3.5685720768,2.7295075917,8.0668687917,0.9040449001,-0.347737628354,3.55158911041,-4.40482329605,-0.405255737576,4.02102858373,0.911602209945,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-012,1086,,True,3.7316782764,2.826330676,9.4869937536,0.8996050961,0.211165813247,3.72569882811,-4.15363634807,0.243396514693,4.66531207942,0.887661141805,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-013,1086,,True,3.64698961,2.7608214026,9.358863798,0.9063932171,0.294425287807,3.63508555128,-3.85898306891,0.272075796243,4.50149612406,0.897790055249,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,test,road_id,NL-014,1086,,True,3.8084066264,2.7928560284,8.3350665873,0.8901707628,-0.484127195198,3.77751001201,-4.9992850487,-0.270460041313,3.52549079992,0.891344383057,11.7229842228,,,,,,,,,,,,,
