horizon_windows,horizon_minutes,split,dimension,slice_value,rows,sufficient_support,deep_rmse,classical_rmse,rmse_delta_deep_minus_classical,deep_mae,classical_mae,mean_absolute_error_delta,deep_row_win_rate
1,30,test,overall,all,26500,True,60.1443300477,63.2353608803,-3.0910308326,40.5448427652,41.9200251189,-1.37518235364,0.501471698113
1,30,test,road_id,NL-001,1060,True,57.1516567097,59.7616228768,-2.6099661671,39.1647546144,40.8132035133,-1.64844889885,0.519811320755
1,30,test,road_id,NL-002,1060,True,73.8990942514,75.6338512386,-1.7347569872,51.0718975188,53.0152079253,-1.94331040647,0.516037735849
1,30,test,road_id,NL-003,1060,True,56.2637404855,61.1833848286,-4.9196443431,38.5493495122,41.3648530939,-2.81550358173,0.547169811321
1,30,test,road_id,NL-004,1060,True,73.5304955052,72.3420916242,1.188403881,51.3542184089,50.980896495,0.373321913901,0.461320754717
1,30,test,road_id,NL-005,1060,True,69.4574007587,70.9101824711,-1.4527817124,48.836495911,47.8095854044,1.0269105066,0.448113207547
1,30,test,road_id,NL-006,1060,True,75.6805491856,78.1390380823,-2.4584888967,52.8397066079,53.6983755736,-0.858668965744,0.480188679245
1,30,test,road_id,NL-007,1060,True,58.3334623813,63.4186864147,-5.0852240334,39.3745801246,42.4079993759,-3.03341925136,0.515094339623
1,30,test,road_id,NL-008,1060,True,65.6956156386,70.0025140092,-4.3068983706,44.6298713793,46.9069589413,-2.27708756205,0.504716981132
1,30,test,road_id,NL-009,1060,True,51.5263846309,56.2453874606,-4.7190028297,35.9337797258,38.9814237845,-3.04764405871,0.537735849057
1,30,test,road_id,NL-010,1060,True,61.6948268115,63.4637916298,-1.7689648183,42.6551431096,44.2194291439,-1.56428603433,0.525471698113
1,30,test,road_id,NL-011,1060,True,48.4520116181,50.1578565476,-1.7058449295,32.8915617844,33.5729611725,-0.681399388035,0.481132075472
1,30,test,road_id,NL-012,1060,True,39.9980748146,43.1300447058,-3.1319698912,29.0989003691,29.9374915088,-0.838591139615,0.491509433962
1,30,test,road_id,NL-013,1060,True,44.4278845458,46.1673037244,-1.7394191786,30.1533814514,30.7068668676,-0.553485416271,0.522641509434
1,30,test,road_id,NL-014,1060,True,72.2952676532,78.8352134271,-6.5399457739,46.7053093449,48.9966099727,-2.29130062788,0.492452830189
1,30,test,road_id,NL-015,1060,True,66.4311835203,71.081157339,-4.6499738187,47.4261319453,48.1395399323,-0.71340798705,0.482075471698
1,30,test,road_id,NL-016,1060,True,68.0870598427,69.1667577775,-1.0796979348,47.8265806049,47.6554211542,0.171159450713,0.504716981132
1,30,test,road_id,NL-017,1060,True,46.7883510374,49.3361898492,-2.5478388118,32.2402171707,33.1731229241,-0.932905753395,0.492452830189
1,30,test,road_id,NL-018,1060,True,44.6530882097,50.6681993165,-6.0151111068,30.4925148184,32.6231321626,-2.1306173442,0.503773584906
1,30,test,road_id,NL-019,1060,True,81.1911547718,84.7921478755,-3.6009931037,54.5748659947,55.430689241,-0.855823246295,0.474528301887
1,30,test,road_id,NL-020,1060,True,44.0364595352,47.5187705373,-3.4823110021,30.7807247062,32.1673606965,-1.38663599029,0.480188679245
1,30,test,road_id,NL-021,1060,True,53.8692280377,56.8609846329,-2.9917565952,37.6200862518,39.44597811,-1.82589185818,0.531132075472
1,30,test,road_id,NL-022,1060,True,49.6511000159,54.4938120407,-4.8427120248,33.7760540135,35.3693623871,-1.59330837358,0.497169811321
1,30,test,road_id,NL-023,1060,True,66.2350445977,69.7522608668,-3.5172162691,44.3829068221,46.6081450694,-2.22523824733,0.522641509434
1,30,test,road_id,NL-024,1060,True,57.0114337553,60.912257612,-3.9008238567,37.5429537452,39.3061414099,-1.76318766468,0.501886792453
1,30,test,road_id,NL-025,1060,True,49.8635170903,51.6248468707,-1.7613297804,33.6990831956,34.6698721119,-0.970788916277,0.502830188679
1,30,test,origin_hour,0,1100,True,25.3099698813,22.5728502164,2.7371196649,19.1246494655,16.5554665834,2.56918288205,0.423636363636
1,30,test,origin_hour,1,1100,True,21.8008460265,20.7912339344,1.0096120921,16.4634054598,15.5528008541,0.910604605622,0.459090909091
1,30,test,origin_hour,2,1100,True,20.7497170062,19.9110590036,0.8386580026,15.5395822095,14.96498707,0.574595139444,0.481818181818
1,30,test,origin_hour,3,1100,True,22.8482958364,21.8460957203,1.0022001161,16.896625688,15.8861722202,1.01045346778,0.448181818182
1,30,test,origin_hour,4,1100,True,25.3803510438,24.6617463046,0.7186047392,18.996098125,18.1195588325,0.87653929252,0.46
1,30,test,origin_hour,5,1100,True,37.9074403934,38.9972388639,-1.0897984705,27.9461081913,28.09776945,-0.151661258723,0.489090909091
1,30,test,origin_hour,6,1100,True,58.5497775997,62.3084133486,-3.7586357489,43.3731634558,46.0828886915,-2.7097252357,0.534545454545
1,30,test,origin_hour,7,1100,True,90.4707906389,96.5867832097,-6.1159925708,67.9235324499,72.2240240663,-4.30049161635,0.53
1,30,test,origin_hour,8,1100,True,102.273076175,104.385789027,-2.1127128515,77.7159443452,79.9606800185,-2.2447356734,0.516363636364
1,30,test,origin_hour,9,1100,True,92.9008398701,98.9812261859,-6.0803863158,67.8134273986,71.8155778617,-4.00215046313,0.526363636364
1,30,test,origin_hour,10,1100,True,58.7328939211,66.5077715755,-7.7748776544,44.9305895627,50.7783517199,-5.84776215719,0.58
1,30,test,origin_hour,11,1100,True,48.9713107562,53.0780332433,-4.1067224871,36.564406943,39.3304117917,-2.76600484869,0.557272727273
1,30,test,origin_hour,12,1100,True,48.7308925051,48.8681159777,-0.1372234726,37.5697392753,38.0655136337,-0.495774358318,0.517272727273
1,30,test,origin_hour,13,1100,True,51.1683906916,52.6720960885,-1.5037053969,37.805840049,39.1816575829,-1.3758175339,0.523636363636
1,30,test,origin_hour,14,1100,True,52.8342282412,55.7396228242,-2.905394583,39.8780863472,41.9409451122,-2.06285876497,0.522727272727
1,30,test,origin_hour,15,1100,True,67.9789223098,72.2249645007,-4.2460421909,50.9195236227,53.695989274,-2.77646565132,0.532727272727
1,30,test,origin_hour,16,1100,True,93.477828878,98.4275969143,-4.9497680363,69.5756665211,72.0621823568,-2.48651583573,0.517272727273
1,30,test,origin_hour,17,1100,True,93.557501075,101.146489611,-7.5889885364,72.5569265172,77.9163541367,-5.35942761944,0.542727272727
1,30,test,origin_hour,18,1100,True,88.8976274186,93.3975556355,-4.4999282169,68.2354560467,71.3435913777,-3.10813533099,0.514545454545
1,30,test,origin_hour,19,1100,True,64.8751908603,70.1736654831,-5.2984746228,48.4588861372,52.3388739544,-3.87998781716,0.547272727273
1,30,test,origin_hour,20,1150,True,43.912384751,44.6483838899,-0.7359991389,32.0086759775,32.8817318681,-0.873055890524,0.502608695652
1,30,test,origin_hour,21,1150,True,28.0616715133,28.4721409692,-0.4104694559,21.4088439041,21.51166988,-0.10282597592,0.505217391304
1,30,test,origin_hour,22,1100,True,23.1645900614,22.3560477037,0.8085423577,18.1243245309,16.9374271798,1.18689735113,0.428181818182
1,30,test,origin_hour,23,1100,True,32.5623488805,27.5546861871,5.0076626934,24.5045498536,20.1744613591,4.33008849448,0.374545454545
1,30,test,weekday,Friday,3800,True,61.0639314865,62.6043799989,-1.5404485124,41.9901187099,42.8616568471,-0.871538137244,0.508684210526
1,30,test,weekday,Monday,3600,True,72.9739333583,76.7292295036,-3.7552961453,48.1892295386,48.8220145208,-0.632784982215,0.478611111111
1,30,test,weekday,Saturday,4700,True,50.5173742995,53.8853008284,-3.3679265289,34.1000161883,35.9197983049,-1.81978211657,0.51914893617
1,30,test,weekday,Sunday,3600,True,44.1906563689,46.6567299733,-2.4660736044,30.2067121579,31.3375166298,-1.13080447193,0.493611111111
