model_version,target,horizon_windows,horizon_minutes,split,rows,rmse,mae,mape_percent,r_squared,mape_nonzero_rows,mape_zero_actual_rows,bias,residual_standard_deviation,interval_coverage,mean_interval_width,confidence_level
classical_regression_v1,speed,1,30,test,27150,3.7399844314,2.8213862472,9.0286201567,0.8980231916,27150,0,-0.0300192180653,3.73986395391,0.898011049724,11.7229842228,0.9
classical_regression_v1,speed,1,30,validation,27150,3.7229821969,2.8127505806,8.8385146432,0.8928018272,27150,0,-0.0214766992039,3.72292025028,0.900036832413,11.7229842228,0.9
classical_regression_v1,speed,2,60,test,27125,3.7682986979,2.8537939106,9.0561166237,0.8960345175,27125,0,-0.0801168046991,3.76744693054,0.896626728111,11.851200777,0.9
classical_regression_v1,speed,2,60,validation,27125,3.7590777742,2.8335186851,8.8629248669,0.8903613758,27125,0,-0.0394196216689,3.75887108135,0.900055299539,11.851200777,0.9
classical_regression_v1,speed,3,90,test,27100,3.7940188313,2.8714671676,9.1447160492,0.8943737872,27100,0,-0.072025186163,3.79333511105,0.904833948339,12.2148129273,0.9
classical_regression_v1,speed,3,90,validation,27100,3.8544108763,2.9143107317,9.0850935217,0.8843770566,27100,0,-0.162566279048,3.85098109681,0.900036900369,12.2148129273,0.9
classical_regression_v1,speed,4,120,test,27075,3.7923349063,2.8730982037,9.0851187838,0.8944522222,27075,0,-0.0632546240488,3.79180733877,0.903527239151,12.1640870141,0.9
classical_regression_v1,speed,4,120,validation,27075,3.8418605814,2.9119783211,9.0620157884,0.8848580965,27075,0,-0.144876437171,3.83912796671,0.900055401662,12.1640870141,0.9
classical_regression_v1,travel_time,1,30,test,27150,1.1426335123,0.4610248102,9.7532276832,0.8065249258,27150,0,0.0415156661738,1.14187906231,0.896022099448,1.99341785278,0.9
classical_regression_v1,travel_time,1,30,validation,27150,1.1004809536,0.4405902833,9.5145271974,0.7796204661,27150,0,0.0418787868555,1.0996838166,0.900036832413,1.99342047072,0.9
classical_regression_v1,travel_time,2,60,test,27125,1.0948588833,0.4393373466,9.3162069585,0.8209535241,27125,0,0.0294803062096,1.09446191609,0.900755760369,2.00079757725,0.9
classical_regression_v1,travel_time,2,60,validation,27125,1.0853351419,0.4365356943,9.579594156,0.7852796097,27125,0,0.0430171473789,1.08448231671,0.900055299539,2.00080877564,0.9
classical_regression_v1,travel_time,3,90,test,27100,1.0821702643,0.4290678887,9.0121382581,0.8246813366,27100,0,0.0205500654537,1.0819751271,0.905498154982,1.98814324955,0.9
classical_regression_v1,travel_time,3,90,validation,27100,1.0870033994,0.4356693844,9.6989379678,0.783648096,27100,0,0.0414257794555,1.08621374287,0.900036900369,1.98815116097,0.9
classical_regression_v1,travel_time,4,120,test,27075,1.1015849175,0.4381270522,9.2029608944,0.8184442912,27075,0,0.0249268037242,1.10130285794,0.90190212373,1.95065810738,0.9
classical_regression_v1,travel_time,4,120,validation,27075,1.0822502765,0.4312424022,9.5005054154,0.7850302527,27075,0,0.0380321067885,1.08158181376,0.900055401662,1.95065980672,0.9
classical_regression_v1,volume,1,30,test,27150,63.4594878679,42.2053668753,10.2175958928,0.9513957024,27150,0,0.221682314138,63.4591006665,0.899742173112,198.394930272,0.9
classical_regression_v1,volume,1,30,validation,27150,61.192570471,41.2147894069,9.9766787652,0.9517806646,27150,0,0.279230778009,61.191933382,0.900036832413,198.570912028,0.9
classical_regression_v1,volume,2,60,test,27125,62.8625581165,42.0109050389,10.2634226366,0.9521587897,27125,0,0.201699085841,62.8622345326,0.899723502304,197.19265009,0.9
classical_regression_v1,volume,2,60,validation,27125,61.1235555945,41.115935706,10.0936886813,0.951776362,27125,0,0.514501933288,61.1213901697,0.900055299539,197.361411775,0.9
classical_regression_v1,volume,3,90,test,27100,65.30578945,44.0438468443,10.9516888502,0.9482755677,27100,0,-0.412570224921,65.304486228,0.90184501845,209.365439303,0.9
classical_regression_v1,volume,3,90,validation,27100,65.6564903895,44.2078891315,11.1107227124,0.9442008321,27100,0,2.01964868959,65.6254199943,0.900036900369,209.536453424,0.9
classical_regression_v1,volume,4,120,test,27075,62.0091681736,41.6263444947,10.2947558886,0.9533482816,27075,0,0.374127422762,62.0080395292,0.902862419206,198.775615423,0.9
classical_regression_v1,volume,4,120,validation,27075,60.5923775842,41.2371421908,10.5554606729,0.9523784344,27075,0,0.967802112403,60.5846480586,0.900055401662,198.93641174,0.9
recurrent_volume_v1,volume,1,30,test,26500,60.1443300477,40.5448427652,10.2095931538,0.9561272837,26500,0,-2.60954482141,60.087691857,0.896867924528,185.453738305,0.9
recurrent_volume_v1,volume,1,30,validation,26500,58.1037429723,39.737911818,10.0671978463,0.956253281,26500,0,-0.762561568984,58.0987387749,0.900037735849,185.585348502,0.9
recurrent_volume_v1,volume,2,60,test,26500,60.8154341757,41.108597521,10.3877330505,0.9551816865,26500,0,-3.26692571078,60.7276232894,0.895132075472,186.997530497,0.9
recurrent_volume_v1,volume,2,60,validation,26500,58.8065503963,40.1469363446,10.0939350259,0.9551899712,26500,0,-3.69697715078,58.6902268649,0.900037735849,187.128429112,0.9
recurrent_volume_v1,volume,3,90,test,26500,61.2014480977,41.6956081508,10.9788224194,0.9546474765,26500,0,0.186640547619,61.2011635066,0.892377358491,186.371821427,0.9
recurrent_volume_v1,volume,3,90,validation,26500,59.0321533051,40.5291193961,10.3967703292,0.9549169119,26500,0,-1.887090339,59.0019831353,0.900037735849,186.414283968,0.9
recurrent_volume_v1,volume,4,120,test,26500,61.8965757989,42.5216443478,11.5348290586,0.9536387829,26500,0,3.04036709939,61.8218591077,0.893056603774,190.186380004,0.9
recurrent_volume_v1,volume,4,120,validation,26500,59.5989174586,41.3047339461,10.8251889132,0.9542250032,26500,0,-0.109667868252,59.5988165587,0.900037735849,190.20374824,0.9
