candidate_id,epoch,training_scaled_mse,validation_mean_rmse,learning_rate,best_epoch_so_far,improved
lstm_s12_h32,1,0.249897107422,71.1203865839,0.002,1,True
lstm_s12_h32,2,0.0696444504203,65.3555253976,0.002,2,True
lstm_s12_h32,3,0.0618214524321,62.1041670717,0.002,3,True
lstm_s12_h32,4,0.0579412618892,60.7575203278,0.002,4,True
lstm_s12_h32,5,0.0556326968475,60.1235681791,0.002,5,True
lstm_s12_h32,6,0.0543042506662,60.2242049656,0.002,5,False
lstm_s12_h32,7,0.0533179250816,60.440197555,0.001,5,False
lstm_s12_h32,8,0.05193896832,58.8853410331,0.001,8,True
lstm_s12_h32,9,0.0514436229583,59.4826189405,0.001,8,False
lstm_s12_h32,10,0.0509487646181,60.6589111175,0.0005,8,False
lstm_s12_h32,11,0.0504548464031,58.9698065975,0.0005,8,False
lstm_s24_h48,1,0.349250754281,68.6111572243,0.001,1,True
lstm_s24_h48,2,0.0687183596855,62.7245187869,0.001,2,True
lstm_s24_h48,3,0.0604632149541,62.2902127697,0.001,3,True
lstm_s24_h48,4,0.0566433960452,60.1171229112,0.001,4,True
lstm_s24_h48,5,0.0543239643016,60.2538573086,0.001,4,False
lstm_s24_h48,6,0.0526493581372,59.4585306128,0.001,6,True
lstm_s24_h48,7,0.051664701723,59.2255065424,0.001,7,True
lstm_s24_h48,8,0.05055240758,60.1872941455,0.001,7,False
lstm_s24_h48,9,0.0495217476761,60.8540325155,0.0005,7,False
lstm_s24_h48,10,0.0487883942382,59.4361406824,0.0005,7,False
