parameter,parameter_type,scratch_value,sklearn_value
traffic_volume,weight,113.284836199,118.563994589
avg_speed,weight,-0.955379300702,-1.91358106883
signal_timing,weight,16.5646902524,16.8840115888
road_capacity,weight,33.444734367,33.6386185374
temperature,weight,5.00531581867,4.98777603539
rainfall,weight,-3.71302102822,-4.83639052508
hour_sin,weight,-7.5040990592,-7.2436545207
hour_cos,weight,-48.4604758811,-48.4417283812
day_of_week_sin,weight,-1.38828464189,-1.50377488405
day_of_week_cos,weight,6.08851419298,6.24175256149
volume_lag_1,weight,82.9892115432,94.8241647141
volume_lag_2,weight,8.24751505605,23.6610876465
volume_lag_48,weight,51.6576788927,49.6686598482
volume_rolling_mean_4,weight,-110.703421775,-165.865850878
volume_rolling_std_4,weight,37.4761310787,38.5373681111
volume_rolling_mean_8,weight,1.22494374795,29.508828791
volume_rolling_std_8,weight,-31.9373738512,-34.4823927078
speed_lag_1,weight,1.70870283121,9.08697467132
speed_lag_2,weight,-3.76587187335,5.32593196922
speed_lag_48,weight,14.7233052468,13.3898384627
speed_rolling_mean_4,weight,17.3889031873,-20.1522383595
speed_rolling_std_4,weight,-9.7855703564,-10.3332828097
speed_rolling_mean_8,weight,-10.8866993154,8.66075719757
speed_rolling_std_8,weight,-13.9857438429,-12.1397045466
half_hour_capacity,weight,33.4310454416,33.6386185374
volume_capacity_ratio,weight,-34.4824259559,-49.0388271041
capacity_headroom,weight,-92.7833674339,-97.8857269626
occupancy,weight,-1.56879508286,0.98323407334
visibility,weight,-9.35471455166,21.2900570762
share_2w,weight,-2.65080569902,-2.7150207183
share_car,weight,2.21276227272,2.29261528112
share_lcv,weight,1.45175142013,1.38110846881
share_hcv,weight,-2.04730532352,-2.12044801592
hour_of_day,weight,16.5664463166,16.2676617432
day_of_week,weight,6.55816387143,6.86008638155
days_to_nearest_event,weight,4.16967318296,4.0715617821
public_holiday,weight,38.1814843848,-49.4596824377
event_flag,weight,101.554957933,100.292573294
roadwork_flag,weight,-0.00824481215691,-2.84217094304e-14
_inserted_window,weight,0.397985660431,-0.244207461009
traffic_volume_original_missing,weight,-1.86664743972,-4.64081648579
traffic_volume_physical_invalid,weight,-0.557595378317,-4.51285237967
avg_speed_original_missing,weight,-1.45577599248,1.32211345811
avg_speed_physical_invalid,weight,-2.41596934135,-15.0048335203
temperature_was_missing,weight,3.16620641316,-0.361652012707
visibility_was_missing,weight,9.04949424804,9.35331367066
vehicle_shares_normalized,weight,0.837773045856,0.812823368722
is_weekend,weight,-87.3953517555,-87.9586878953
is_morning_peak,weight,23.7721838389,25.843672356
is_evening_peak,weight,7.66713054191,6.85557900445
is_peak,weight,31.4347406484,32.6992513605
history_available,weight,137.645630904,49.4596824377
is_rain,weight,4.21982422167,20.5977379284
is_low_visibility,weight,-13.8049011353,-56.14613254
weather_is_clear,weight,51.5091832328,-53.1592789784
weather_is_cloudy,weight,48.1773064484,-56.5415682288
weather_is_overcast,weight,50.9330354179,-53.9993075001
weather_is_rain,weight,4.24934519298,20.5977379284
weather_is_fog,weight,20.9455187636,143.102416779
holiday_peak,weight,-33.4314668328,-34.6959444684
event_within_proximity,weight,-4.3388948874,-4.18139924604
temperature_band_cool,weight,104.114729505,15.5543014867
temperature_band_mild,weight,71.7054910565,-15.5543014867
temperature_band_warm,weight,0.00586222331359,0
__bias__,bias,175.829054147,449.55494201
