iteration,loss,gradient_norm
0,278398.00559,2603.52474716
1,124391.624822,1390.68218009
2,67567.0038246,888.091212074
3,41692.2901514,614.455994224
4,28834.9406791,441.698256772
5,22071.2034976,327.657022097
6,18291.1169911,251.6490202
7,16024.1243873,200.707952078
8,14557.5956841,166.078328335
9,13538.0677636,141.874912249
10,12784.7612479,124.278130055
11,12201.2781739,110.905826249
12,11733.4016416,100.313920372
13,11348.6904059,91.6345480517
14,11026.4422407,84.3390482759
15,10752.6330979,78.0942543475
16,10517.2751338,72.6796297195
17,10312.9733779,67.9408037546
18,10134.0929503,63.7637749024
19,9976.24916943,60.0605003121
20,9835.97675747,56.7606645159
21,9710.50404606,53.8067900487
22,9597.59241677,51.151170404
23,9495.41854881,48.7538185515
24,9402.4860979,46.5810034251
25,9317.55836738,44.6041462453
26,9239.60636653,42.7989526947
27,9167.76837237,41.1447111679
28,9101.31821362,39.6237155843
29,9039.64023656,38.2207861873
30,8982.20943045,36.9228698623
31,8928.57556232,35.7187061604
32,8878.35044437,34.5985481028
33,8831.19766126,33.5539288087
34,8786.82423796,32.5774664671
35,8744.97384581,31.6627013504
36,8705.42123339,30.8039595559
37,8667.96763713,29.9962389974
38,8632.43697966,29.2351138913
39,8598.67270419,28.5166545929
40,8566.53512525,27.837360168
41,8535.89920056,27.1941015269
42,8506.65264809,26.5840733204
43,8478.69434741,26.0047531153
44,8451.93297648,25.4538666221
45,8426.28584405,24.9293579687
46,8401.67788578,24.4293641878
47,8378.04079756,23.9521932362
48,8355.31228472,23.4963049812
49,8333.4354092,23.0602946915
50,8312.35802021,22.6428786469
51,8292.03225595,22.2428815503
52,8272.41410643,21.8592254775
53,8253.4630287,21.4909201448
54,8235.14160734,21.1370543116
55,8217.41525414,20.7967881618
56,8200.25194178,20.4693465371
57,8183.62196714,20.154012909
58,8167.49774051,19.850123999
59,8151.85359735,19.5570649657
60,8136.66563004,19.2742650911
61,8121.91153699,19.0011939068
62,8107.57048719,18.7373577106
63,8093.62299843,18.4822964284
64,8080.05082746,18.2355807823
65,8066.83687092,17.9968097342
66,8053.96507569,17.7656081717
67,8041.42035775,17.5416248133
68,8029.18852852,17.3245303098
69,8017.256228,17.1140155192
70,8005.61086383,16.9097899412
71,7994.24055582,16.7115802915
72,7983.13408533,16.5191292048
73,7972.28084894,16.3321940521
74,7961.67081609,16.1505458616
75,7951.29449023,15.9739683332
76,7941.1428732,15.8022569378
77,7931.20743241,15.6352180922
78,7921.48007072,15.4726684046
79,7911.95309866,15.3144339816
80,7902.61920876,15.1603497922
81,7893.47145193,15.0102590843
82,7884.50321549,14.864012847
83,7875.70820294,14.7214693163
84,7867.08041514,14.5824935187
85,7858.61413291,14.4469568512
86,7850.30390078,14.3147366921
87,7842.14451193,14.1857160428
88,7834.13099421,14.0597831945
89,7826.25859701,13.9368314208
90,7818.5227791,13.8167586919
91,7810.91919726,13.6994674098
92,7803.44369562,13.5848641614
93,7796.09229572,13.4728594895
94,7788.86118721,13.3633676796
95,7781.74671911,13.2563065606
96,7774.74539163,13.1515973192
97,7767.85384852,13.0491643266
98,7761.06886981,12.9489349762
99,7754.38736509,12.8508395318
100,7747.80636708,12.7548109857
101,7741.32302568,12.6607849252
102,7734.93460227,12.5686994076
103,7728.63846443,12.4784948424
104,7722.4320809,12.3901138813
105,7716.31301681,12.3035013139
106,7710.27892924,12.2186039696
107,7704.32756297,12.1353706259
108,7698.4567465,12.0537519205
109,7692.66438824,11.9737002698
110,7686.94847292,11.8951697906
111,7681.30705823,11.8181162271
112,7675.73827161,11.7424968811
113,7670.24030714,11.6682705461
114,7664.81142272,11.595397445
115,7659.44993728,11.5238391709
116,7654.1542282,11.4535586308
117,7648.92272882,11.3845199925
118,7643.7539261,11.3166886336
119,7638.64635837,11.2500310934
120,7633.59861321,11.1845150271
121,7628.60932544,11.1201091623
122,7623.67717515,11.0567832569
123,7618.80088592,10.99450806
124,7613.97922303,10.9332552735
125,7609.21099183,10.8729975169
126,7604.49503609,10.8137082919
127,7599.83023656,10.7553619502
128,7595.21550947,10.6979336618
129,7590.64980516,10.641399385
130,7586.1321068,10.5857358377
131,7581.66142906,10.5309204699
132,7577.23681697,10.4769314373
133,7572.85734473,10.4237475761
134,7568.52211466,10.3713483791
135,7564.23025606,10.3197139722
136,7559.98092432,10.2688250925
137,7555.77329984,10.2186630668
138,7551.60658722,10.1692097912
139,7547.48001428,10.1204477118
140,7543.39283128,10.0723598053
141,7539.34431007,10.0249295615
142,7535.33374336,9.97814096545
143,7531.36044392,9.9319784812
144,7527.42374391,9.88642703532
145,7523.52299418,9.84147200168
146,7519.65756361,9.79709918657
147,7515.82683848,9.75329481436
148,7512.03022189,9.71004551376
149,7508.26713315,9.66733830456
150,7504.53700723,9.62516058488
151,7500.83929422,9.58350011883
152,7497.17345885,9.54234502474
153,7493.53897996,9.50168376367
154,7489.93535003,9.46150512844
155,7486.36207473,9.421798233
156,7482.81867249,9.3825525022
157,7479.30467408,9.34375766193
158,7475.81962216,9.30540372955
159,7472.36307095,9.26748100474
160,7468.93458583,9.22998006061
161,7465.53374296,9.19289173512
162,7462.16012896,9.15620712283
163,7458.81334057,9.11991756689
164,7455.49298431,9.08401465133
165,7452.19867618,9.04849019361
166,7448.93004137,9.01333623743
167,7445.68671395,8.97854504571
168,7442.46833662,8.94410909396
169,7439.27456043,8.91002106367
170,7436.10504449,8.87627383612
171,7432.95945577,8.84286048621
172,7429.83746886,8.80977427667
173,7426.73876569,8.7770086523
174,7423.66303535,8.7445572345
175,7420.60997384,8.71241381598
176,7417.57928391,8.68057235553
177,7414.57067482,8.64902697314
178,7411.58386215,8.6177719451
179,7408.61856765,8.58680169938
180,7405.67451899,8.55611081108
181,7402.75144966,8.52569399809
182,7399.84909876,8.49554611685
183,7396.96721084,8.46566215824
184,7394.10553575,8.43603724362
185,7391.26382851,8.406666621
186,7388.44184911,8.37754566128
187,7385.63936241,8.3486698547
188,7382.85613801,8.32003480732
189,7380.09195009,8.29163623762
190,7377.34657728,8.26346997328
191,7374.61980257,8.23553194793
192,7371.91141316,8.20781819816
193,7369.22120035,8.18032486047
194,7366.54895946,8.15304816842
195,7363.89448965,8.1259844498
196,7361.25759389,8.09913012398
197,7358.63807882,8.0724816992
198,7356.03575467,8.04603577009
199,7353.45043514,8.01978901515
200,7350.88193734,7.99373819441
201,7348.33008166,7.96788014705
202,7345.79469174,7.94221178919
203,7343.27559433,7.9167301117
204,7340.77261924,7.89143217806
205,7338.28559928,7.86631512236
206,7335.81437012,7.84137614725
207,7333.35877029,7.81661252206
208,7330.91864106,7.7920215809
209,7328.49382638,7.76760072086
210,7326.08417286,7.74334740024
211,7323.6895296,7.71925913684
212,7321.30974826,7.69533350634
213,7318.94468289,7.67156814063
214,7316.59418991,7.64796072632
215,7314.25812809,7.62450900317
216,7311.93635843,7.60121076265
217,7309.62874414,7.57806384653
218,7307.3351506,7.55506614549
219,7305.05544527,7.53221559773
220,7302.78949768,7.50951018778
221,7300.53717936,7.48694794511
222,7298.29836381,7.46452694301
223,7296.07292643,7.44224529735
224,7293.86074449,7.42010116543
225,7291.6616971,7.39809274486
226,7289.47566516,7.3762182725
227,7287.30253131,7.35447602338
228,7285.14217989,7.33286430967
229,7282.99449693,7.31138147972
230,7280.85937007,7.29002591706
231,7278.73668857,7.26879603947
232,7276.62634326,7.2476902981
233,7274.52822646,7.22670717655
234,7272.44223204,7.20584519003
235,7270.36825529,7.18510288452
236,7268.30619296,7.16447883599
237,7266.25594319,7.14397164956
238,7264.21740553,7.1235799588
239,7262.19048082,7.10330242494
240,7260.17507127,7.08313773618
241,7258.17108036,7.06308460698
242,7256.17841283,7.04314177738
243,7254.19697467,7.02330801235
244,7252.22667309,7.00358210115
245,7250.26741649,6.9839628567
246,7248.31911442,6.96444911498
247,7246.3816776,6.94503973444
248,7244.45501786,6.92573359543
249,7242.53904813,6.90652959966
250,7240.63368243,6.88742666964
251,7238.73883582,6.86842374818
252,7236.85442443,6.84951979785
253,7234.98036538,6.83071380053
254,7233.1165768,6.81200475688
255,7231.26297781,6.79339168592
256,7229.41948848,6.77487362455
257,7227.58602985,6.7564496271
258,7225.76252387,6.73811876494
259,7223.9488934,6.71988012603
260,7222.1450622,6.70173281451
261,7220.35095492,6.68367595035
262,7218.56649706,6.66570866892
263,7216.79161498,6.64783012063
264,7215.02623587,6.63003947059
265,7213.27028775,6.61233589825
266,7211.52369942,6.59471859702
267,7209.7864005,6.577186774
268,7208.05832137,6.55973964961
269,7206.33939319,6.54237645729
270,7204.62954786,6.52509644319
271,7202.92871803,6.50789886588
272,7201.23683707,6.49078299607
273,7199.55383907,6.47374811628
274,7197.87965883,6.45679352064
275,7196.21423182,6.43991851455
276,7194.55749423,6.42312241447
277,7192.90938289,6.40640454765
278,7191.2698353,6.38976425189
279,7189.6387896,6.37320087528
280,7188.0161846,6.356713776
281,7186.4019597,6.34030232207
282,7184.79605495,6.32396589112
283,7183.19841099,6.30770387023
284,7181.60896908,6.29151565565
285,7180.02767106,6.27540065263
286,7178.45445935,6.25935827523
287,7176.88927696,6.24338794613
288,7175.33206745,6.2274890964
289,7173.78277494,6.21166116537
290,7172.24134411,6.19590360043
291,7170.70772016,6.18021585683
292,7169.18184886,6.16459739757
293,7167.66367647,6.14904769317
294,7166.15314979,6.13356622157
295,7164.65021611,6.11815246793
296,7163.15482324,6.10280592449
297,7161.66691949,6.08752609044
298,7160.18645365,6.07231247173
299,7158.71337499,6.057164581
300,7157.24763327,6.04208193737
301,7155.78917871,6.02706406636
302,7154.33796199,6.01211049972
303,7152.89393426,5.99722077532
304,7151.45704711,5.98239443706
305,7150.02725257,5.96763103468
306,7148.60450313,5.95293012369
307,7147.1887517,5.93829126525
308,7145.77995161,5.92371402604
309,7144.37805662,5.90919797819
310,7142.98302092,5.89474269911
311,7141.59479908,5.88034777145
312,7140.21334611,5.86601278295
313,7138.83861739,5.85173732639
314,7137.47056871,5.83752099944
315,7136.10915626,5.8233634046
316,7134.75433661,5.80926414912
317,7133.40606669,5.79522284486
318,7132.06430384,5.78123910825
319,7130.72900575,5.7673125602
320,7129.40013047,5.75344282597
321,7128.07763644,5.73962953517
322,7126.76148243,5.7258723216
323,7125.45162759,5.71217082322
324,7124.14803139,5.69852468207
325,7122.85065368,5.68493354416
326,7121.55945461,5.67139705947
327,7120.27439471,5.65791488179
328,7118.99543481,5.64448666874
329,7117.72253608,5.63111208162
330,7116.45566003,5.61779078541
331,7115.19476848,5.60452244869
332,7113.93982355,5.59130674353
333,7112.69078771,5.5781433455
334,7111.44762371,5.56503193357
335,7110.21029463,5.55197219005
336,7108.97876384,5.53896380055
337,7107.75299502,5.52600645392
338,7106.53295213,5.51309984218
339,7105.31859944,5.50024366049
340,7104.10990151,5.48743760707
341,7102.90682317,5.4746813832
342,7101.70932957,5.46197469309
343,7100.5173861,5.44931724391
344,7099.33095845,5.4367087457
345,7098.15001258,5.42414891134
346,7096.97451473,5.41163745649
347,7095.80443139,5.39917409955
348,7094.63972934,5.38675856162
349,7093.48037561,5.37439056648
350,7092.32633749,5.36206984049
351,7091.17758252,5.34979611261
352,7090.03407852,5.33756911432
353,7088.89579354,5.32538857962
354,7087.76269589,5.31325424493
355,7086.63475412,5.30116584913
356,7085.51193703,5.28912313345
357,7084.39421367,5.2771258415
358,7083.28155332,5.26517371916
359,7082.17392549,5.25326651464
360,7081.07129993,5.24140397834
361,7079.97364663,5.22958586293
362,7078.88093582,5.21781192321
363,7077.79313792,5.20608191615
364,7076.71022361,5.19439560083
365,7075.63216378,5.18275273843
366,7074.55892955,5.17115309217
367,7073.49049224,5.15959642732
368,7072.42682341,5.14808251111
369,7071.36789481,5.13661111278
370,7070.31367843,5.1251820035
371,7069.26414645,5.11379495635
372,7068.21927126,5.10244974631
373,7067.17902546,5.09114615021
374,7066.14338186,5.07988394675
375,7065.11231347,5.06866291641
376,7064.08579349,5.05748284149
377,7063.06379533,5.04634350602
378,7062.04629259,5.03524469582
379,7061.03325906,5.02418619838
380,7060.02466875,5.01316780293
381,7059.02049583,5.00218930036
382,7058.02071467,4.99125048319
383,7057.02529983,4.98035114562
384,7056.03422605,4.96949108341
385,7055.04746826,4.95867009396
386,7054.06500158,4.94788797621
387,7053.08680128,4.93714453064
388,7052.11284285,4.92643955931
389,7051.14310193,4.91577286575
390,7050.17755434,4.90514425499
391,7049.21617608,4.89455353356
392,7048.25894332,4.88400050942
393,7047.30583239,4.87348499199
394,7046.35681982,4.8630067921
395,7045.41188227,4.85256572198
396,7044.47099659,4.84216159528
397,7043.5341398,4.831794227
398,7042.60128905,4.82146343348
399,7041.67242169,4.81116903244
400,7040.74751521,4.80091084289
401,7039.82654727,4.79068868517
402,7038.90949567,4.78050238091
403,7037.99633839,4.77035175302
404,7037.08705354,4.76023662567
405,7036.1816194,4.75015682428
406,7035.28001441,4.74011217553
407,7034.38221714,4.73010250728
408,7033.48820631,4.72012764864
409,7032.59796081,4.7101874299
410,7031.71145967,4.70028168253
411,7030.82868204,4.69041023917
412,7029.94960724,4.68057293362
413,7029.07421474,4.67076960083
414,7028.20248413,4.66100007688
415,7027.33439514,4.65126419896
416,7026.46992767,4.64156180539
417,7025.60906173,4.63189273556
418,7024.75177746,4.62225682996
419,7023.89805518,4.61265393015
420,7023.04787529,4.60308387877
421,7022.20121836,4.59354651949
422,7021.35806509,4.58404169702
423,7020.51839629,4.57456925711
424,7019.68219292,4.56512904654
425,7018.84943607,4.55572091307
426,7018.02010694,4.54634470549
427,7017.19418687,4.53700027356
428,7016.37165734,4.52768746802
429,7015.55249993,4.51840614059
430,7014.73669635,4.50915614395
431,7013.92422844,4.49993733172
432,7013.11507816,4.49074955847
433,7012.30922759,4.4815926797
434,7011.50665894,4.47246655182
435,7010.70735451,4.46337103218
436,7009.91129675,4.45430597902
437,7009.11846822,4.44527125148
438,7008.32885157,4.43626670959
439,7007.54242961,4.42729221426
440,7006.75918522,4.41834762726
441,7005.97910142,4.40943281124
442,7005.20216134,4.4005476297
443,7004.42834822,4.391691947
444,7003.65764539,4.3828656283
445,7002.89003633,4.37406853965
446,7002.12550459,4.36530054788
447,7001.36403385,4.35656152065
448,7000.6056079,4.34785132645
449,6999.85021061,4.33916983453
450,6999.09782599,4.33051691499
451,6998.34843813,4.32189243866
452,6997.60203124,4.3132962772
453,6996.85858961,4.30472830302
454,6996.11809766,4.29618838931
455,6995.38053989,4.28767641
456,6994.64590091,4.27919223981
457,6993.91416543,4.27073575417
458,6993.18531826,4.26230682928
459,6992.45934431,4.25390534205
460,6991.73622857,4.24553117015
461,6991.01595614,4.23718419194
462,6990.29851223,4.22886428653
463,6989.58388213,4.22057133371
464,6988.87205121,4.212305214
465,6988.16300496,4.20406580859
466,6987.45672895,4.1958529994
467,6986.75320885,4.187666669
468,6986.0524304,4.17950670066
469,6985.35437947,4.17137297834
470,6984.65904198,4.16326538664
471,6983.96640396,4.15518381084
472,6983.27645153,4.1471281369
473,6982.58917089,4.13909825139
474,6981.90454833,4.13109404157
475,6981.22257023,4.12311539532
476,6980.54322305,4.11516220116
477,6979.86649334,4.10723434827
478,6979.19236775,4.09933172642
479,6978.52083298,4.09145422603
480,6977.85187583,4.08360173813
481,6977.1854832,4.07577415437
482,6976.52164205,4.06797136699
483,6975.86033943,4.06019326887
484,6975.20156247,4.05243975346
485,6974.54529837,4.0447107148
486,6973.89153444,4.03700604756
487,6973.24025804,4.02932564695
488,6972.59145661,4.0216694088
489,6971.94511769,4.01403722949
490,6971.30122888,4.00642900599
491,6970.65977786,3.99884463582
492,6970.02075238,3.99128401709
493,6969.38414029,3.98374704845
494,6968.74992948,3.97623362911
495,6968.11810795,3.96874365884
496,6967.48866375,3.96127703795
497,6966.861585,3.95383366729
498,6966.23685992,3.94641344827
499,6965.61447678,3.93901628281
500,6964.99442394,3.93164207338
501,6964.37668979,3.92429072297
502,6963.76126285,3.9169621351
503,6963.14813168,3.9096562138
504,6962.53728489,3.90237286363
505,6961.9287112,3.89511198964
506,6961.32239937,3.88787349743
507,6960.71833824,3.88065729307
508,6960.11651672,3.87346328314
509,6959.51692378,3.86629137473
510,6958.91954846,3.85914147541
511,6958.32437987,3.85201349326
512,6957.73140718,3.84490733683
513,6957.14061962,3.83782291517
514,6956.55200651,3.83076013779
515,6955.96555721,3.8237189147
516,6955.38126115,3.81669915638
517,6954.79910783,3.80970077378
518,6954.21908681,3.8027236783
519,6953.6411877,3.79576778184
520,6953.06540019,3.78883299674
521,6952.49171403,3.78191923579
522,6951.92011903,3.77502641226
523,6951.35060505,3.76815443986
524,6950.78316201,3.76130323275
525,6950.21777992,3.75447270553
526,6949.65444882,3.74766277325
527,6949.09315881,3.74087335141
528,6948.53390006,3.73410435592
529,6947.9766628,3.72735570316
530,6947.42143731,3.72062730992
531,6946.86821394,3.71391909343
532,6946.31698307,3.70723097132
533,6945.76773516,3.70056286167
534,6945.22046073,3.69391468298
535,6944.67515033,3.68728635416
536,6944.13179461,3.68067779453
537,6943.59038422,3.67408892384
538,6943.05090991,3.66751966222
539,6942.51336246,3.66096993023
540,6941.97773271,3.65443964883
541,6941.44401156,3.64792873939
542,6940.91218995,3.64143712366
543,6940.3822589,3.63496472379
544,6939.85420944,3.62851146235
545,6939.32803269,3.62207726226
546,6938.80371981,3.61566204687
547,6938.281262,3.60926573988
548,6937.76065053,3.60288826541
549,6937.24187671,3.59652954793
550,6936.72493189,3.5901895123
551,6936.2098075,3.58386808377
552,6935.69649499,3.57756518795
553,6935.18498587,3.57128075082
554,6934.67527171,3.56501469874
555,6934.16734412,3.55876695844
556,6933.66119474,3.552537457
557,6933.15681529,3.54632612187
558,6932.65419753,3.54013288087
559,6932.15333325,3.53395766216
560,6931.65421429,3.52780039428
561,6931.15683256,3.52166100611
562,6930.66118,3.51553942687
563,6930.16724859,3.50943558615
