dimension,dimension_value,row_count,traffic_volume_mean,traffic_volume_median,avg_speed_mean,occupancy_mean,travel_time_mean,accident_observed_rows,accident_positive_rows,accident_positive_rate,congestion_free_flow_rows,congestion_moderate_rows,congestion_heavy_rows,congestion_severe_rows
road_id,NL-001,7248,420.8966610000,365.0000000000,42.5434880000,30.3547320000,3.2177920000,7059,57,0.0080748000,4640,1585,639,384
road_id,NL-002,7248,536.3783110000,477.0000000000,41.9994620000,31.3874030000,1.4175690000,7081,61,0.0086146000,4390,1784,674,400
road_id,NL-003,7248,402.9606790000,366.0000000000,41.2984480000,32.8843680000,3.3989830000,7064,58,0.0082106500,4128,1947,737,436
road_id,NL-004,7248,538.3634110000,489.0000000000,40.8576160000,33.5811950000,1.4142380000,7091,65,0.0091665500,3985,2065,719,479
road_id,NL-005,7248,511.5299390000,468.0000000000,40.7257590000,33.9120450000,1.8178750000,7064,67,0.0094847100,3933,2084,750,481
road_id,NL-006,7248,565.6935710000,518.0000000000,40.8955160000,33.6212470000,3.4139510000,7053,84,0.0119098300,3965,2070,756,457
road_id,NL-007,7248,422.3101550000,361.5000000000,42.8220890000,29.8388660000,1.7726530000,7072,63,0.0089083700,4744,1510,616,378
road_id,NL-008,7248,477.4125280000,406.5000000000,42.9435150000,29.4477920000,5.1186040000,7066,76,0.0107557300,4825,1449,608,366
road_id,NL-009,7248,374.4147350000,341.0000000000,40.8840710000,33.4788770000,3.7131830000,7069,65,0.0091950800,3980,2069,714,485
road_id,NL-010,7248,478.2014350000,409.0000000000,42.8451020000,29.7535180000,5.5252640000,7081,67,0.0094619400,4775,1476,635,362
road_id,NL-011,7248,371.7019870000,315.0000000000,43.2019450000,28.9802700000,5.4036270000,7076,61,0.0086206900,4891,1385,614,358
road_id,NL-012,7248,310.1008550000,286.0000000000,40.9333330000,33.4822430000,4.7020670000,7066,69,0.0097650700,3977,2091,729,451
road_id,NL-013,7248,332.4750280000,302.0000000000,40.8498900000,33.5253310000,3.4678050000,7094,70,0.0098674900,3970,2093,728,457
road_id,NL-014,7248,489.9199780000,412.0000000000,43.3697160000,28.6004970000,2.8669000000,7075,56,0.0079151900,4954,1367,577,350
road_id,NL-015,7248,484.7280630000,447.0000000000,40.7213020000,33.8744620000,2.2661880000,7045,74,0.0105039000,3899,2164,741,444
road_id,NL-016,7248,492.3392660000,431.5000000000,42.0687090000,31.1479720000,3.1530630000,7053,80,0.0113426900,4461,1737,661,389
road_id,NL-017,7248,345.3843820000,291.0000000000,43.2132730000,29.0925220000,2.0633840000,7080,78,0.0110169500,4876,1407,613,352
road_id,NL-018,7248,318.0982340000,285.0000000000,41.9198680000,31.5913770000,5.4100340000,7066,73,0.0103311600,4317,1869,669,393
road_id,NL-019,7248,564.6261040000,513.0000000000,41.0317470000,33.2270560000,4.2428990000,7045,53,0.0075230700,4070,1960,764,454
road_id,NL-020,7248,316.9955850000,266.0000000000,43.2224340000,28.9748210000,4.3914960000,7093,58,0.0081770800,4880,1403,628,337
road_id,NL-021,7248,404.5488410000,355.0000000000,42.4768900000,30.4835400000,4.2967110000,7068,52,0.0073571000,4556,1687,639,366
road_id,NL-022,7248,374.8545810000,313.0000000000,43.2586090000,28.7948540000,4.5542360000,7052,47,0.0066647800,4890,1409,592,357
road_id,NL-023,7248,504.2567600000,441.5000000000,42.3526770000,30.7279800000,2.6894030000,7065,62,0.0087756500,4570,1638,657,383
road_id,NL-024,7248,384.4965510000,331.0000000000,42.8186400000,29.8506070000,4.9007150000,7058,76,0.0107679200,4745,1512,653,338
road_id,NL-025,7248,365.2393760000,305.0000000000,43.2282970000,28.8193710000,3.9367370000,7065,80,0.0113234300,4886,1407,608,347
local_hour,0,7550,162.2108610000,157.0000000000,51.9531520000,11.7248740000,2.5296380000,7365,63,0.0085539700,7550,0,0,0
local_hour,1,7550,162.2082120000,157.0000000000,51.8310330000,11.7341460000,2.5340700000,7364,45,0.0061108100,7550,0,0,0
local_hour,2,7550,163.3909930000,158.0000000000,51.8425560000,11.8106230000,2.5341500000,7358,58,0.0078825800,7550,0,0,0
