feature,traffic_volume,avg_speed,occupancy,signal_timing,road_capacity,temperature,rainfall,visibility,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,volume_lag_1,volume_lag_2,volume_lag_48,volume_rolling_mean_4,volume_rolling_mean_8,speed_lag_1,speed_lag_2,speed_lag_48,speed_rolling_mean_4,speed_rolling_mean_8,volume_capacity_ratio,capacity_headroom,days_to_nearest_event
traffic_volume,1.0000000000,-0.8927241943,0.9345495805,0.7608581019,0.2660862177,0.3846282151,-0.0366273426,0.0706475521,-0.1898642033,-0.5182728326,0.1584640519,-0.0376377669,0.9295266145,0.8374250408,0.8685883276,0.7972961059,0.5688180461,-0.8172900264,-0.7186175134,-0.7600017875,-0.6926947662,-0.4541271058,0.9488579615,-0.8364133907,-0.0575554210
avg_speed,-0.8927241943,1.0000000000,-0.9340818766,-0.7626090770,0.0030933811,-0.3396354688,-0.0311287832,0.0137843007,0.1571168605,0.4692323301,-0.1743139739,0.0397167219,-0.8160997392,-0.7155866983,-0.7643458036,-0.6620721912,-0.4075692145,0.8628891032,0.7456983673,0.7991692329,0.7094697445,0.4431024380,-0.9410538282,0.8835109192,0.0710184290
occupancy,0.9345495805,-0.9340818766,1.0000000000,0.7939434897,-0.0036758033,0.4020874743,-0.0352785756,0.0703748524,-0.1984930365,-0.5409140205,0.1632583515,-0.0420022915,0.8650478276,0.7725795649,0.8091517031,0.7278600986,0.4882754285,-0.8501121109,-0.7482130485,-0.7963200912,-0.7213207826,-0.4735562114,0.9850528610,-0.9251534078,-0.0593237856
signal_timing,0.7608581019,-0.7626090770,0.7939434897,1.0000000000,-0.0038156579,0.3967698465,0.0077844829,0.0207032352,-0.1926574323,-0.5355553390,-0.0000439949,0.0006553260,0.7296697770,0.6420086899,0.7604873819,0.5945893834,0.3563329053,-0.7285835024,-0.6334585820,-0.7625698488,-0.6015562884,-0.3579226330,0.8023533624,-0.7536762321,0.0008239109
road_capacity,0.2660862177,0.0030933811,-0.0036758033,-0.0038156579,1.0000000000,-0.0000825390,-0.0014626525,0.0024786091,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.2661131608,0.2661429004,0.2661727918,0.2812628772,0.3136155753,0.0030854658,0.0030770712,0.0030179155,0.0033720691,0.0038964228,-0.0033706631,0.3057816461,-0.0000000000
temperature,0.3846282151,-0.3396354688,0.4020874743,0.3967698465,-0.0000825390,1.0000000000,0.0115191798,0.0324096937,-0.6067769958,-0.5253200942,-0.0042042804,0.0034783075,0.4090791461,0.4274106796,0.3857533282,0.4533099832,0.4961913610,-0.3630542996,-0.3811283203,-0.3410074980,-0.4205073361,-0.4825228306,0.4054158069,-0.3799478144,0.0826830991
rainfall,-0.0366273426,-0.0311287832,-0.0352785756,0.0077844829,-0.0014626525,0.0115191798,1.0000000000,-0.7578195560,-0.0006645506,-0.0240338801,0.0042592669,-0.0284710522,-0.0294513247,-0.0206738358,0.0082504115,-0.0197406265,-0.0114918270,-0.0255144232,-0.0220745885,-0.0118617751,-0.0231918286,-0.0215556083,-0.0365032179,0.0353455081,-0.0165641870
visibility,0.0706475521,0.0137843007,0.0703748524,0.0207032352,0.0024786091,0.0324096937,-0.7578195560,1.0000000000,-0.0571695069,0.0126503915,0.0051119313,0.0286201595,0.0679594888,0.0617326512,0.0195229284,0.0628681403,0.0602979290,0.0004546203,-0.0094858216,-0.0139968186,-0.0122999404,-0.0227104948,0.0720822506,-0.0683699166,0.0155784289
hour_sin,-0.1898642033,0.1571168605,-0.1984930365,-0.1926574323,0.0000000000,-0.6067769958,-0.0006645506,-0.0571695069,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.2559071140,-0.3175556536,-0.1900589959,-0.3620190921,-0.5012926282,0.2170355985,0.2732206880,0.1571911580,0.3247920949,0.4741833850,-0.1999472839,0.1875306482,-0.0000000000
hour_cos,-0.5182728326,0.4692323301,-0.5409140205,-0.5355553390,-0.0000000000,-0.5253200942,-0.0240338801,0.0126503915,0.0000000000,1.0000000000,-0.0000000000,-0.0000000000,-0.4889589532,-0.4512605350,-0.5184674723,-0.4487190656,-0.3651805259,0.4446060778,0.4123738714,0.4694063367,0.4265346013,0.3662015001,-0.5461106291,0.5119029207,0.0000000000
