feature,traffic_volume,avg_speed,occupancy,signal_timing,road_capacity,temperature,rainfall,visibility,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,volume_lag_1,volume_lag_2,volume_lag_48,volume_rolling_mean_4,volume_rolling_mean_8,speed_lag_1,speed_lag_2,speed_lag_48,speed_rolling_mean_4,speed_rolling_mean_8,volume_capacity_ratio,capacity_headroom,days_to_nearest_event
traffic_volume,80465.6177966526,-2886.3589954720,5203.1395372003,1871.1236241241,24651.2247418591,476.8937613550,-10.9776646939,29975.9970886394,-38.0832906142,-103.9560620504,31.8433487185,-7.5338877669,74792.6448853160,67379.7235775842,70047.3087797028,60711.1520560626,38855.1422527301,-2642.3886084686,-2323.3309775919,-2463.4103078780,-2043.2883052064,-1156.6393905883,77.0132412485,-68140.0054257235,-71.9417856750
avg_speed,-2886.3589954720,129.9139334386,-208.9636583769,-75.3569779846,11.5152198412,-16.9206183832,-0.3748775101,235.0087043163,1.2663007358,3.7818299253,-1.4074820709,0.3194415355,-2638.5802672258,-2313.5632062956,-2477.2291385588,-2025.8584220787,-1118.8340970077,112.0999664940,96.8751317064,104.1021562533,84.0962317498,45.3538205326,-3.0690315480,2892.1166053925,3.5668819021
occupancy,5203.1395372003,-208.9636583769,385.2262757327,135.0955925009,-23.5624887555,34.4948151392,-0.7315910242,2066.0783767409,-2.7547958943,-7.5071032686,2.2699493113,-0.5817294603,4815.9938323387,4301.0261896972,4514.5127005740,3834.7257346454,2307.6115600450,-190.1715002050,-167.3725189155,-178.5719638786,-147.2155728294,-83.4477805401,5.5319278685,-5214.9207815781,-5.1306998719
signal_timing,1871.1236241241,-75.3569779846,135.0955925009,75.1600871497,-10.8037373275,15.0351450913,0.0713054593,268.4745956938,-1.1810427172,-3.2831006056,-0.0002701959,0.0040090471,1794.3934765914,1578.7754799334,1872.2702965938,1383.8521143082,743.9943071956,-71.9936319926,-62.5932777724,-75.4572267443,-54.2360077528,-27.8643080023,1.9902990485,-1876.5254927878,0.0314748532
road_capacity,24651.2247418591,11.5152198412,-23.5624887555,-10.8037373275,106664.9886588813,-0.1178271403,-0.5047211077,1210.8499715655,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,24653.5867861832,24656.1816802745,24687.2885127147,24661.0266439909,24669.8190878135,11.4857118571,11.4545618248,11.2502321680,11.4533917360,11.4282526285,-0.3149816941,28681.2695875803,-0.0000000000
temperature,476.8937613550,-16.9206183832,34.4948151392,15.0351450913,-0.1178271403,19.1051588539,0.0531981169,211.8954333658,-1.8753858484,-1.6236242926,-0.0130181658,0.0107283622,507.1254335604,529.7615587623,477.9872265851,531.5357746496,521.5044458539,-18.0843566219,-18.9817520721,-16.9830314050,-19.1007185317,-18.9091540530,0.5070315978,-476.9526749251,1.5925089276
rainfall,-10.9776646939,-0.3748775101,-0.7315910242,0.0713054593,-0.5047211077,0.0531981169,1.1163458193,-1197.6682262933,-0.0004964936,-0.0179559946,0.0031879906,-0.0212272148,-8.8274650164,-6.1969557964,2.4797445307,-5.6009804256,-2.9260235965,-0.3072842870,-0.2658765016,-0.1432932369,-0.2549042221,-0.2046418464,-0.0110354373,10.7253041401,-0.0771186295
visibility,29975.9970886394,235.0087043163,2066.0783767409,268.4745956938,1210.8499715655,211.8954333658,-1197.6682262933,2237395.1337569426,-60.4674969223,13.3801662749,5.4167544699,30.2088030041,28837.1818488454,26196.5063584452,8306.5843944505,25252.4774109699,21735.0017120415,7.7513076860,-161.7459460265,-239.3599742083,-191.3882606046,-305.2314607813,30.8502511033,-29370.5721028565,102.6797503268
hour_sin,-38.0832906142,1.2663007358,-2.7547958943,-1.1810427172,0.0000000000,-1.8753858484,-0.0004964936,-60.4674969223,0.5000027594,0.0000000000,0.0000000000,0.0000000000,-51.3335542043,-63.7037423853,-38.1657163289,-68.7403158801,-85.3996180234,1.7493365729,2.2023618824,1.2686966006,2.3890454445,3.0120096534,-0.0404539311,38.0832906142,-0.0000000000
hour_cos,-103.9560620504,3.7818299253,-7.5071032686,-3.2831006056,-0.0000000000,-1.6236242926,-0.0179559946,13.3801662749,0.0000000000,0.5000027594,-0.0000000000,-0.0000000000,-98.0689313110,-90.5012524283,-104.1133695523,-85.1612988906,-62.1769822921,3.5830911984,3.3231380212,3.7885987423,3.1358908197,2.3248105414,-0.1104907320,103.9560620504,0.0000000000
